# START:5/8/2024 1:29:28 PM APP:tmon VERSION:0.91 FILE:tmon_rn-15.csv
# Ctrl Rate(secs):1
# PLC OC_VER=40001015 (0x2625df7) OC_VER(?)
Time,Temp,Setpt,Pwr,SucTmp,ChmTmp,ChlTmp,DisTmp,DrvTmp,DeSupTmp,DrvWTmp,DisPrs,SucPrs,InWPrs,OutWPrs,ChlPrs,PumpAmps,Humid,ChlPwr,ChmPwr,DrvPwr,ChmSet,ChlSet,DrvSet,CLevel,InwTmp
13:29:29,24.30,25.00,0.00, 14.98,24.30,20.02,64.00, 29.10,-3.70,24.90,199.56, 59.09,98.85,22.96,32.79, 3.78,36.43,3.55,0.00, 9.16,25.00,20.00,25.00,14.00,0.00
13:29:31,24.30,25.00,0.00, 14.98,24.30,20.07,64.00, 29.10,-3.70,24.90,199.89, 59.22,99.05,22.95,32.74, 3.78,36.43,3.59,0.00, 9.13,25.00,20.00,25.00,14.00,0.00
13:29:33,24.30,25.00,0.00, 14.99,24.30,20.11,64.00, 29.10,-3.60,24.90,200.16, 59.33,98.49,23.08,32.75, 3.78,36.43,3.66,0.00, 10.34,25.00,20.00,25.00,14.21,0.00
13:29:34,24.30,25.00,0.00, 15.01,24.30,20.17,64.00, 29.10,-3.60,25.00,200.46, 59.38,97.68,22.93,32.64, 3.78,36.43,3.69,0.00, 10.99,25.00,20.00,25.00,14.12,0.00
13:29:34,24.30,25.00,0.00, 15.02,24.30,20.17,64.00, 29.10,-3.60,25.00,200.51, 59.42,99.10,23.02,32.82, 3.78,36.43,3.69,0.00, 11.05,25.00,20.00,25.00,14.12,0.00
13:29:35,24.30,25.00,0.00, 15.02,24.30,20.18,64.00, 29.10,-3.60,25.00,200.56, 59.45,98.79,23.07,32.90, 3.78,36.43,3.70,0.00, 11.08,25.00,20.00,25.00,14.12,0.00
13:29:36,24.30,25.00,0.00, 15.04,24.30,20.19,64.00, 29.10,-3.60,25.00,200.78, 59.54,98.97,22.99,32.75, 3.79,36.43,3.71,0.00, 11.09,25.00,20.00,25.00,14.14,0.00
13:29:37,24.30,25.00,0.00, 15.05,24.30,20.19,64.00, 29.10,-3.60,25.00,200.86, 59.59,99.15,22.96,32.84, 3.79,36.43,3.72,0.00, 11.09,25.00,20.00,25.00,14.12,0.00
13:29:39,24.30,25.00,0.00, 15.06,24.30,20.20,64.00, 29.10,-3.50,25.00,201.14, 59.60,99.43,22.95,32.59, 3.78,36.43,3.72,0.00, 11.09,25.00,20.00,25.00,14.10,0.00
13:29:41,24.30,25.00,0.00, 15.07,24.30,20.20,64.10, 29.10,-3.50,25.00,201.44, 59.65,98.43,23.01,32.78, 3.78,36.43,3.72,0.00, 11.09,25.00,20.00,25.00,14.10,0.00
13:29:42,24.40,25.00,0.00, 15.08,24.40,20.20,64.00, 29.10,-3.50,25.00,201.64, 59.67,99.01,22.87,32.80, 3.78,36.43,3.72,0.00, 11.09,25.00,20.00,25.00,14.10,0.00
13:29:43,24.40,25.00,0.00, 15.08,24.40,20.20,64.00, 29.10,-3.40,25.10,201.80, 59.71,98.50,23.03,32.79, 3.77,36.43,3.72,0.00, 13.00,25.00,20.00,25.00,14.10,0.00
13:29:45,24.40,25.00,0.00, 15.10,24.30,20.21,64.00, 29.10,-3.40,25.10,202.02, 59.77,98.79,22.87,33.01, 3.78,36.43,3.75,0.00, 13.15,25.00,20.00,25.00,14.10,0.00
13:29:47,24.30,25.00,0.00, 15.13,24.40,20.26,64.10, 29.10,-3.40,25.10,202.22, 59.81,98.79,22.94,32.65, 3.79,36.43,3.78,0.00, 13.18,25.00,20.00,25.00,14.12,0.00
13:29:49,24.40,25.00,0.00, 15.12,24.40,20.23,64.00, 29.20,-3.30,25.10,202.36, 59.89,97.28,23.04,32.66, 3.77,36.43,3.75,0.00, 13.21,25.00,20.00,25.00,14.12,0.00
13:29:50,24.30,25.00,0.00, 15.11,24.30,20.23,64.00, 29.20,-3.30,25.10,202.55, 59.87,98.72,22.99,32.82, 3.78,36.43,3.78,0.00, 13.24,25.00,20.00,25.00,14.38,0.00
13:29:52,24.40,25.00,0.00, 15.11,24.40,20.27,64.00, 29.20,-3.30,25.10,202.67, 59.81,98.29,23.10,32.86, 3.79,36.43,3.79,0.00, 13.28,25.00,20.00,25.00,14.38,0.00
13:29:53,24.40,25.00,0.00, 15.11,24.40,20.23,64.10, 29.20,-3.30,25.20,202.74, 59.84,98.40,23.04,32.76, 3.78,36.43,3.76,0.00, 14.78,25.00,20.00,25.00,14.38,0.00
13:29:55,24.30,25.00,0.00, 15.11,24.30,20.22,64.10, 29.20,-3.30,25.20,202.80, 59.90,98.42,23.04,32.63, 3.77,36.43,3.77,0.00, 15.35,25.00,20.00,25.00,14.35,0.00
13:29:56,24.30,25.00,0.00, 15.10,24.30,20.27,64.10, 29.20,-3.30,25.10,202.88, 59.91,98.83,23.05,33.01, 3.78,36.43,3.80,0.00, 13.69,25.00,20.00,25.00,14.35,0.00
13:29:58,24.30,25.00,0.00, 15.10,24.40,20.29,64.10, 29.20,-3.30,25.10,202.95, 59.92,97.96,23.11,32.77, 3.77,36.43,3.86,0.00, 13.46,25.00,20.00,25.00,14.36,0.00
13:30:00,24.40,25.00,0.00, 15.10,24.40,20.35,64.10, 29.10,-3.30,25.30,203.01, 59.88,98.34,23.00,32.84, 3.78,36.43,3.90,0.00, 17.14,25.00,20.00,25.00,14.33,0.00
13:30:01,24.30,25.00,0.00, 15.10,24.30,20.37,64.10, 29.20,-3.30,25.30,203.02, 59.92,98.20,23.12,32.90, 3.78,36.43,3.92,0.00, 17.54,25.00,20.00,25.00,14.31,0.00
13:30:01,24.30,25.00,0.00, 15.10,24.30,20.39,64.10, 29.20,-3.30,25.60,203.04, 59.93,98.24,23.02,32.62, 3.77,36.43,3.93,0.00, 21.49,25.00,20.00,25.00,14.31,0.00
13:30:02,24.30,25.00,0.00, 15.11,24.30,20.39,64.10, 29.20,-3.30,25.60,203.05, 59.95,98.04,23.01,32.71, 3.78,36.43,3.93,0.00, 22.92,25.00,20.00,25.00,14.31,0.00
13:30:03,24.30,25.00,0.00, 15.13,24.30,20.43,64.10, 29.20,-3.30,26.00,203.07, 59.89,98.31,23.13,32.89, 3.78,36.43,3.98,0.00, 23.73,25.00,20.00,25.00,14.31,0.00
13:30:03,24.30,25.00,0.00, 15.14,24.30,20.45,64.10, 29.20,-3.30,26.00,203.08, 59.88,97.54,23.10,32.83, 3.78,36.43,3.99,0.00, 28.13,25.00,20.00,25.00,14.31,0.00
13:30:05,24.30,25.00,0.00, 15.15,24.30,20.44,64.10, 29.20,-3.30,26.00,203.09, 59.92,97.09,23.19,32.66, 3.78,36.43,3.99,0.00, 32.02,25.00,20.00,25.00,14.30,0.00
