# START:10/18/2024 9:17:55 AM APP:tmon VERSION:0.91 FILE:tmon_rn-2.csv
# Ctrl Rate(secs):1
#  No Oven Ctrl hardware recognized
Time,Temp,Setpt,Pwr,SucTmp,ChmTmp,ChlTmp,DisTmp,DrvTmp,DeSupTmp,DrvWTmp,DisPrs,SucPrs,InWPrs,OutWPrs,ChlPrs,PumpAmps,Humid,ChlPwr,ChmPwr,DrvPwr,ChmSet,ChlSet,DrvSet,CLevel,InwTmp
09:17:56,25.20,25.00,0.00, 15.28,25.20,19.96,62.10, 28.60,-3.00,23.60,191.89, 60.70,96.97,23.18,33.30, 3.67,35.05,3.83,0.00, 0.00,25.00,20.00,25.00,14.91,0.00
09:17:57,25.20,25.00,0.00, 15.28,25.20,19.93,62.10, 28.60,-3.00,23.60,191.89, 60.69,97.21,23.15,33.29, 3.67,35.05,3.80,0.00, 0.00,25.00,20.00,25.00,14.93,0.00
09:18:00,25.30,25.00,0.00, 15.29,25.30,19.94,62.20, 28.60,-3.00,23.60,191.90, 60.73,97.64,23.16,33.20, 3.67,35.05,3.84,0.00, 0.00,25.00,20.00,25.00,14.93,0.00
09:18:03,25.30,25.00,0.00, 15.29,25.20,19.98,62.10, 28.60,-2.90,23.70,191.92, 60.63,97.81,23.18,33.19, 3.67,35.05,3.87,0.00, 1.24,25.00,20.00,25.00,14.95,0.00
09:18:03,25.20,25.00,0.00, 15.29,25.20,19.99,62.10, 28.60,-2.90,23.70,191.86, 60.66,97.69,23.21,33.28, 3.67,35.05,3.86,0.00, 1.12,25.00,20.00,25.00,14.93,0.00
09:18:05,25.20,25.00,0.00, 15.30,25.20,19.94,62.00, 28.60,-3.00,23.70,191.86, 60.69,97.48,23.30,33.06, 3.67,35.05,3.81,0.00, 0.73,25.00,20.00,25.00,14.95,0.00
09:18:06,25.20,25.00,0.00, 15.30,25.20,19.93,62.00, 28.60,-3.00,23.70,191.88, 60.68,96.84,23.28,32.99, 3.67,35.05,3.80,0.00, 0.34,25.00,20.00,25.00,14.95,0.00
09:18:07,25.20,25.00,0.00, 15.30,25.20,19.96,62.10, 28.60,-2.90,23.80,191.87, 60.66,97.67,23.26,33.08, 3.67,35.06,3.83,0.00, 0.42,25.00,20.00,25.00,14.95,0.00
09:18:07,25.20,25.00,0.00, 15.30,25.20,19.97,62.10, 28.60,-2.90,23.80,191.87, 60.64,97.64,23.30,33.19, 3.67,35.06,3.84,0.00, 1.43,25.00,20.00,25.00,14.95,0.00
09:18:09,25.20,25.00,0.00, 15.28,25.20,19.96,62.10, 28.60,-2.90,23.80,191.88, 60.66,97.72,23.28,33.38, 3.67,35.06,3.81,0.00, 1.59,25.00,20.00,25.00,14.95,0.00
09:18:10,25.20,25.00,0.00, 15.27,25.20,19.93,62.10, 28.60,-3.00,23.80,191.86, 60.63,97.55,23.26,33.46, 3.67,35.06,3.80,0.00, 1.48,25.00,20.00,25.00,14.95,0.00
09:18:10,25.20,25.00,0.00, 15.27,25.20,19.92,62.10, 28.60,-3.00,23.80,191.89, 60.66,97.65,23.26,33.36, 3.68,35.06,3.79,0.00, 1.36,25.00,20.00,25.00,14.95,0.00
09:18:11,25.20,25.00,0.00, 15.28,25.20,19.95,62.10, 28.60,-3.00,23.80,191.87, 60.61,97.23,23.29,33.16, 3.68,35.06,3.82,0.00, 1.12,25.00,20.00,25.00,14.95,0.00
09:18:13,25.20,25.00,0.00, 15.28,25.20,19.97,62.10, 28.60,-3.00,23.80,191.87, 60.57,97.59,23.33,33.18, 3.67,35.06,3.85,0.00, 0.64,25.00,20.00,25.00,14.95,0.00
09:18:15,25.20,25.00,0.00, 15.29,25.20,19.99,62.10, 28.60,-2.90,23.80,191.84, 60.65,97.51,23.27,33.10, 3.68,35.06,3.86,0.00, 0.52,25.00,20.00,25.00,14.95,0.00
09:18:20,25.20,25.00,0.00, 15.29,25.20,19.99,62.20, 28.70,-2.90,23.80,191.85, 60.63,98.56,23.20,33.33, 3.67,35.06,3.87,0.00, 1.25,25.00,20.00,25.00,14.95,0.00
09:18:25,25.30,25.00,0.00, 15.30,25.30,20.00,62.20, 28.60,-3.00,23.90,191.82, 60.63,97.45,23.22,33.08, 3.67,35.06,3.87,0.00, 1.14,25.00,20.00,25.00,14.98,0.00
09:18:33,25.20,25.00,0.00, 15.30,25.20,20.00,62.20, 28.60,-3.00,23.90,191.82, 60.61,97.69,23.24,33.33, 3.67,35.06,3.88,0.00, 1.52,25.00,20.00,25.00,14.98,0.00
09:18:40,25.20,25.00,0.00, 15.27,25.20,20.00,62.10, 28.70,-2.90,24.00,191.79, 60.63,97.22,23.22,33.14, 3.66,35.06,3.88,0.00, 0.54,25.00,20.00,25.00,14.98,0.00
09:18:43,25.30,25.00,0.00, 15.29,25.30,20.00,62.20, 28.70,-2.90,24.10,191.78, 60.64,97.42,23.36,33.29, 3.67,35.06,3.85,0.00, 1.47,25.00,20.00,25.00,14.98,0.00
09:18:48,25.20,25.00,0.00, 15.29,25.20,19.96,62.10, 28.70,-2.90,24.10,191.81, 60.63,96.81,23.41,33.11, 3.67,35.06,3.85,0.00, 0.94,25.00,20.00,25.00,15.00,0.00
09:18:55,25.30,25.00,0.00, 15.30,25.30,19.99,62.10, 28.70,-2.90,24.20,191.82, 60.62,97.21,23.27,33.13, 3.67,35.07,3.89,0.00, 1.66,25.00,20.00,25.00,15.01,0.00
09:18:56,25.30,25.00,0.00, 15.30,25.30,20.05,62.20, 28.70,-2.90,24.20,191.84, 60.56,96.90,23.33,32.94, 3.67,35.07,3.91,0.00, 1.26,25.00,20.00,25.00,15.00,0.00
09:18:58,25.20,25.00,0.00, 15.30,25.20,20.01,62.20, 28.80,-2.90,24.20,191.84, 60.63,96.65,23.30,33.30, 3.67,35.07,3.89,0.00, 0.94,25.00,20.00,25.00,15.00,0.00
09:19:02,25.20,25.00,0.00, 15.30,25.20,20.01,62.20, 28.80,-2.90,24.30,191.86, 60.65,97.06,23.25,33.14, 3.67,35.07,3.88,0.00, 2.57,25.00,20.00,25.00,14.98,0.00
09:19:04,25.30,25.00,0.00, 15.30,25.30,20.00,62.10, 28.80,-2.90,24.20,191.87, 60.65,96.73,23.13,33.32, 3.67,35.07,3.88,0.00, 0.77,25.00,20.00,25.00,14.98,0.00
