# START:4/24/2024 10:00:25 AM APP:tmon VERSION:0.91 FILE:tmon_sn-11001_rn-10.csv
# Ctrl Rate(secs):1
# PLC OC_VER=40001015 (0x2625df7) OC_VER(?)
Time,Temp,Setpt,Pwr,SucTmp,ChmTmp,ChlTmp,DisTmp,DrvTmp,DeSupTmp,DrvWTmp,DisPrs,SucPrs,InWPrs,OutWPrs,ChlPrs,PumpAmps,Humid,ChlPwr,ChmPwr,DrvPwr,ChmSet,ChlSet,DrvSet,CLevel,InwTmp
10:00:25,26.90,25.00,0.00, 14.63,26.90,20.00,68.30, 28.10,-6.90,22.10,211.64, 54.59,118.93,30.93,31.28, 3.57,23.90,3.51,0.00, 0.00,25.00,20.00,25.00,14.42,0.00
10:00:26,26.90,25.00,0.00, 14.62,26.90,20.00,68.30, 28.10,-6.90,22.10,211.62, 54.66,118.92,30.96,31.28, 3.57,23.90,3.51,0.00, 0.00,25.00,20.00,25.00,14.44,0.00
10:00:27,26.90,25.00,0.00, 14.62,26.90,19.97,68.30, 28.10,-6.90,22.10,211.60, 54.76,118.92,30.97,31.31, 3.55,23.90,3.49,0.00, 0.00,25.00,20.00,25.00,14.46,0.00
10:00:28,26.90,25.00,0.00, 14.61,26.90,19.94,68.30, 28.10,-6.90,22.20,211.63, 54.69,118.72,30.91,31.13, 3.57,23.90,3.46,0.00, 0.00,25.00,20.00,25.00,14.46,0.00
10:00:29,26.90,25.00,0.00, 14.63,26.90,19.95,68.30, 28.00,-6.90,22.20,211.60, 54.70,118.56,30.95,31.24, 3.55,23.91,3.45,0.00, 0.00,25.00,20.00,25.00,14.45,0.00
10:00:30,26.90,25.00,0.00, 14.64,26.90,19.97,68.30, 28.00,-6.90,22.20,211.60, 54.66,118.79,30.95,31.15, 3.56,23.91,3.48,0.00, 0.00,25.00,20.00,25.00,14.45,0.00
10:00:31,26.90,25.00,0.00, 14.65,26.90,19.98,68.30, 28.00,-6.90,22.20,211.61, 54.69,118.96,30.93,31.16, 3.57,23.90,3.49,0.00, 0.00,25.00,20.00,25.00,14.45,0.00
10:00:32,26.90,25.00,0.00, 14.66,26.90,19.99,68.30, 28.00,-6.90,22.20,211.61, 54.62,118.91,30.93,31.11, 3.55,23.90,3.50,0.00, 0.00,25.00,20.00,25.00,14.45,0.00
10:00:33,26.90,25.00,0.00, 14.67,26.90,19.99,68.30, 28.10,-6.90,22.20,211.62, 54.67,118.72,30.89,31.26, 3.57,23.90,3.50,0.00, 0.00,25.00,20.00,25.00,14.44,0.00
10:00:34,26.90,25.00,0.00, 14.67,26.90,20.00,68.30, 28.10,-6.80,22.20,211.63, 54.74,118.58,30.92,31.18, 3.55,23.90,3.51,0.00, 0.00,25.00,20.00,25.00,14.44,0.00
10:00:35,26.90,25.00,0.00, 14.68,26.90,20.00,68.30, 28.20,-6.80,22.20,211.64, 54.73,118.69,30.91,31.08, 3.56,23.91,3.51,0.00, 0.00,25.00,20.00,25.00,14.43,0.00
10:00:36,26.90,25.00,0.00, 14.68,26.90,20.00,68.30, 28.20,-6.90,22.20,211.65, 54.71,118.47,30.89,31.24, 3.55,23.90,3.51,0.00, 0.00,25.00,20.00,25.00,14.42,0.00
10:00:37,26.90,25.00,0.00, 14.67,26.90,20.00,68.30, 28.20,-6.90,22.20,211.64, 54.71,118.40,30.93,31.23, 3.56,23.91,3.51,0.00, 0.00,25.00,20.00,25.00,14.42,0.00
10:00:38,26.90,25.00,0.00, 14.65,26.90,20.00,68.30, 28.10,-6.90,22.20,211.64, 54.71,118.61,30.94,31.30, 3.57,23.90,3.51,0.00, 0.00,25.00,20.00,25.00,14.42,0.00
10:00:39,26.90,25.00,0.00, 14.65,26.90,20.00,68.30, 28.10,-6.90,22.20,211.64, 54.64,118.66,30.88,31.22, 3.56,23.91,3.51,0.00, 0.00,25.00,20.00,25.00,14.43,0.00
10:00:40,26.90,25.00,0.00, 14.66,26.90,20.00,68.30, 28.10,-6.90,22.20,211.65, 54.66,118.49,30.99,31.14, 3.56,23.91,3.51,0.00, 0.00,25.00,20.00,25.00,14.43,0.00
10:00:41,26.90,25.00,0.00, 14.67,26.90,20.00,68.30, 28.10,-6.90,22.20,211.64, 54.71,118.14,30.85,31.32, 3.55,23.91,3.51,0.00, 0.00,25.00,20.00,25.00,14.43,0.00
10:00:42,26.90,25.00,0.00, 14.67,26.90,20.00,68.30, 28.20,-6.90,22.20,211.65, 54.62,118.44,30.89,31.36, 3.57,23.93,3.51,0.00, 0.00,25.00,20.00,25.00,14.43,0.00
10:00:43,26.90,25.00,0.00, 14.68,26.90,20.00,68.30, 28.20,-6.90,22.20,211.67, 54.70,118.58,30.91,30.95, 3.56,23.91,3.51,0.00, 0.00,25.00,20.00,25.00,14.43,0.00
10:00:44,26.90,25.00,0.00, 14.68,26.90,20.00,68.30, 28.20,-6.90,22.30,211.64, 54.65,118.53,30.93,31.32, 3.55,23.91,3.51,0.00, 0.00,25.00,20.00,25.00,14.43,0.00
10:00:45,26.90,25.00,0.00, 14.69,26.90,20.00,68.30, 28.20,-6.90,22.30,211.64, 54.72,118.59,30.92,31.11, 3.57,23.91,3.51,0.00, 0.00,25.00,20.00,25.00,14.42,0.00
10:00:46,26.90,25.00,0.00, 14.69,26.90,20.00,68.30, 28.20,-6.90,22.30,211.66, 54.73,118.39,30.94,31.36, 3.55,23.91,3.51,0.00, 0.00,25.00,20.00,25.00,14.42,0.00
10:00:47,26.90,25.00,0.00, 14.69,26.90,20.00,68.30, 28.20,-6.90,22.40,211.68, 54.71,118.41,30.91,31.27, 3.56,23.91,3.51,0.00, 0.00,25.00,20.00,25.00,14.41,0.00
10:00:48,26.90,25.00,0.00, 14.69,26.90,20.00,68.30, 28.20,-6.90,22.40,211.70, 54.66,117.91,30.86,31.19, 3.55,23.91,3.51,0.00, 0.00,25.00,20.00,25.00,14.42,0.00
10:00:49,26.90,25.00,0.00, 14.69,26.90,20.00,68.30, 28.20,-6.90,22.40,211.70, 54.69,117.48,30.87,31.26, 3.55,23.91,3.51,0.00, 0.00,25.00,20.00,25.00,14.43,0.00
10:00:50,26.90,25.00,0.00, 14.69,26.90,20.00,68.40, 28.20,-6.90,22.40,211.68, 54.68,118.09,30.90,31.40, 3.57,23.91,3.51,0.00, 0.00,25.00,20.00,25.00,14.43,0.00
