# START:5/8/2024 1:29:55 PM APP:tmon VERSION:0.91 FILE:tmon_sn-11001_rn-16.csv
# Ctrl Rate(secs):1
# PLC OC_VER=40001015 (0x2625df7) OC_VER(?)
Time,Temp,Setpt,Pwr,SucTmp,ChmTmp,ChlTmp,DisTmp,DrvTmp,DeSupTmp,DrvWTmp,DisPrs,SucPrs,InWPrs,OutWPrs,ChlPrs,PumpAmps,Humid,ChlPwr,ChmPwr,DrvPwr,ChmSet,ChlSet,DrvSet,CLevel,InwTmp
13:29:55,26.90,25.00,0.00, 14.31,26.90,19.80,68.40, 28.10,-6.80,22.00,211.08, 55.06,116.09,31.00,31.38, 3.57,23.87,3.09,0.00, 0.00,25.00,20.00,25.00,14.26,0.00
13:29:56,26.90,25.00,0.00, 14.31,26.90,19.80,68.40, 28.10,-6.90,22.00,212.48, 54.93,115.91,31.06,31.19, 3.58,23.87,3.09,0.00, 0.00,25.00,20.00,25.00,14.26,0.00
13:29:57,26.90,25.00,0.00, 14.33,26.90,19.80,68.30, 28.10,-6.90,22.00,212.33, 54.31,115.71,31.05,31.33, 3.58,23.87,3.09,0.00, 0.00,25.00,20.00,25.00,14.26,0.00
13:29:58,26.90,25.00,0.00, 14.34,26.90,19.80,68.30, 28.10,-7.00,22.00,211.20, 54.98,115.87,30.99,31.11, 3.57,23.87,3.09,0.00, 0.00,25.00,20.00,25.00,14.27,0.00
13:29:59,26.90,25.00,0.00, 14.35,26.90,19.80,68.30, 28.10,-7.00,22.00,211.85, 54.99,115.83,31.02,31.29, 3.59,23.87,3.09,0.00, 0.00,25.00,20.00,25.00,14.28,0.00
13:30:00,26.90,25.00,0.00, 14.34,26.90,19.80,68.30, 28.10,-7.00,22.00,212.52, 54.43,115.95,31.07,31.44, 3.57,23.87,3.09,0.00, 0.00,25.00,20.00,25.00,14.28,0.00
13:30:01,26.90,25.00,0.00, 14.33,26.90,19.80,68.40, 28.10,-7.00,22.00,212.29, 54.35,115.83,31.06,31.43, 3.58,23.87,3.09,0.00, 0.00,25.00,20.00,25.00,14.28,0.00
13:30:02,26.90,25.00,0.00, 14.32,26.90,19.80,68.40, 28.10,-7.00,22.00,211.73, 54.91,115.74,31.06,31.32, 3.58,23.87,3.09,0.00, 0.00,25.00,20.00,25.00,14.28,0.00
13:30:03,26.90,25.00,0.00, 14.34,26.90,19.80,68.30, 28.10,-7.00,22.00,212.16, 55.15,115.50,31.00,31.44, 3.57,23.87,3.09,0.00, 0.00,25.00,20.00,25.00,14.26,0.00
13:30:04,26.90,25.00,0.00, 14.35,26.90,19.80,68.30, 28.10,-6.80,22.10,213.04, 54.17,115.36,31.09,31.26, 3.59,23.87,3.09,0.00, 0.00,25.00,20.00,25.00,14.26,0.00
13:30:05,26.90,25.00,0.00, 14.34,26.90,19.80,68.30, 28.10,-6.80,22.10,211.67, 54.44,115.31,31.14,31.33, 3.58,23.87,3.09,0.00, 0.00,25.00,20.00,25.00,14.24,0.00
13:30:06,26.90,25.00,0.00, 14.33,26.90,19.80,68.30, 28.10,-6.90,22.10,211.45, 55.37,115.71,31.14,31.48, 3.57,23.87,3.09,0.00, 0.00,25.00,20.00,25.00,14.23,0.00
