# START:5/23/2024 10:19:05 AM APP:tmon VERSION:0.91 FILE:tmon_sn-11001_rn-25.csv
# Ctrl Rate(secs):1
# PLC OC_VER=40001015 (0x2625df7) OC_VER(?)
Time,Temp,Setpt,Pwr,SucTmp,ChmTmp,ChlTmp,DisTmp,DrvTmp,DeSupTmp,DrvWTmp,DisPrs,SucPrs,InWPrs,OutWPrs,ChlPrs,PumpAmps,Humid,ChlPwr,ChmPwr,DrvPwr,ChmSet,ChlSet,DrvSet,CLevel,InwTmp
10:19:05,24.90,25.00,8.07, 14.54,24.90,19.95,67.60, 27.60,-6.70,19.00,209.74, 53.88,111.71,30.98,31.40, 3.56,38.30,3.47,8.07, 0.00,25.00,20.00,25.00,14.66,0.00
10:19:06,24.90,25.00,8.36, 14.55,24.90,19.97,67.60, 27.60,-6.70,19.00,207.17, 54.85,111.29,30.83,31.45, 3.58,38.30,3.49,8.36, 0.00,25.00,20.00,25.00,14.68,0.00
10:19:07,24.90,25.00,8.38, 14.56,24.90,19.98,67.60, 27.60,-6.70,19.00,207.10, 55.53,111.29,30.96,31.32, 3.57,38.30,3.50,8.38, 0.00,25.00,20.00,25.00,14.70,0.00
10:19:08,25.00,25.00,8.37, 14.56,25.00,19.99,67.60, 27.60,-6.70,19.10,208.49, 55.06,111.35,30.84,31.35, 3.59,38.30,3.51,8.37, 0.00,25.00,20.00,25.00,14.73,0.00
10:19:09,25.00,25.00,10.09, 14.55,25.00,20.03,67.70, 27.60,-6.70,19.10,208.34, 54.60,111.29,30.83,31.45, 3.58,38.29,3.54,10.09, 0.00,25.00,20.00,25.00,14.73,0.00
10:19:10,25.00,25.00,10.32, 14.55,25.00,20.06,67.70, 27.60,-6.70,19.10,206.95, 55.24,111.65,30.88,31.20, 3.56,38.29,3.58,10.32, 0.00,25.00,20.00,25.00,14.73,0.00
10:19:11,25.00,25.00,10.36, 14.56,25.00,20.04,67.60, 27.60,-6.70,19.10,207.58, 55.67,111.24,30.83,31.04, 3.58,38.29,3.57,10.36, 0.00,25.00,20.00,25.00,14.73,0.00
10:19:12,25.00,25.00,10.36, 14.56,25.00,20.03,67.60, 27.60,-6.60,19.20,209.66, 53.90,111.53,30.99,31.60, 3.56,38.29,3.55,10.36, 0.00,25.00,20.00,25.00,14.71,0.00
10:19:13,25.00,25.00,10.36, 14.57,25.00,20.02,67.60, 27.60,-6.60,19.20,207.08, 54.92,111.56,30.74,31.40, 3.57,38.28,3.54,10.36, 0.00,25.00,20.00,25.00,14.71,0.00
10:19:14,25.00,25.00,10.36, 14.58,25.00,20.01,67.60, 27.50,-6.70,19.20,207.16, 55.67,111.27,30.88,31.09, 3.57,38.28,3.53,10.36, 0.00,25.00,20.00,25.00,14.69,0.00
10:19:15,25.00,25.00,10.36, 14.58,25.00,20.01,67.60, 27.50,-6.70,19.20,208.59, 54.91,111.21,30.84,31.40, 3.56,38.28,3.52,10.36, 0.00,25.00,20.00,25.00,14.67,0.00
10:19:16,25.00,25.00,10.36, 14.58,25.00,20.00,67.60, 27.50,-6.80,19.20,207.96, 54.68,111.41,30.92,31.16, 3.58,38.28,3.52,10.36, 0.00,25.00,20.00,25.00,14.66,0.00
