# START:8/12/2024 4:36:33 PM APP:tmon VERSION:0.91 FILE:tmon_sn-11001_rn-40.csv
# Ctrl Rate(secs):1
# PLC OC_VER=40001015 (0x2625df7) OC_VER(?)
Time,Temp,Setpt,Pwr,SucTmp,ChmTmp,ChlTmp,DisTmp,DrvTmp,DeSupTmp,DrvWTmp,DisPrs,SucPrs,InWPrs,OutWPrs,ChlPrs,PumpAmps,Humid,ChlPwr,ChmPwr,DrvPwr,ChmSet,ChlSet,DrvSet,CLevel,InwTmp
16:36:33,26.70,25.00,0.00, 14.80,26.70,20.20,67.70, 28.20,-6.50,22.80,210.66, 54.09,120.70,31.42,30.98, 3.68,23.92,2.97,0.00, 0.00,25.00,20.00,25.00,12.95,0.00
16:36:34,26.70,25.00,0.00, 14.80,26.70,20.20,67.70, 28.20,-6.50,22.80,208.43, 55.33,120.70,31.12,31.01, 3.68,23.92,2.97,0.00, 0.00,25.00,20.00,25.00,12.95,0.00
16:36:35,26.70,25.00,0.00, 14.80,26.70,20.20,67.70, 28.30,-6.50,22.80,207.81, 56.45,120.72,31.12,31.19, 3.67,23.92,2.97,0.00, 0.00,25.00,20.00,25.00,12.94,0.00
16:36:36,26.70,25.00,0.00, 14.80,26.70,20.20,67.70, 28.30,-6.50,22.80,210.57, 54.27,120.74,31.42,30.99, 3.68,23.92,2.97,0.00, 0.00,25.00,20.00,25.00,12.95,0.00
16:36:37,26.70,25.00,0.00, 14.80,26.70,20.20,67.70, 28.30,-6.50,22.80,208.85, 54.86,120.81,31.15,31.16, 3.66,23.92,2.97,0.00, 0.00,25.00,20.00,25.00,12.95,0.00
16:36:38,26.70,25.00,0.00, 14.80,26.70,20.20,67.70, 28.30,-6.70,22.80,207.64, 56.32,120.83,30.92,31.08, 3.67,23.92,2.97,0.00, 0.00,25.00,20.00,25.00,12.96,0.00
16:36:39,26.70,25.00,0.00, 14.80,26.70,20.20,67.70, 28.30,-6.70,22.80,209.84, 54.90,120.86,31.18,30.88, 3.67,23.92,2.97,0.00, 0.00,25.00,20.00,25.00,12.95,0.00
16:36:40,26.70,25.00,0.00, 14.80,26.70,20.20,67.70, 28.30,-6.70,22.80,209.29, 54.72,120.84,31.08,31.24, 3.66,23.92,2.97,0.00, 0.00,25.00,20.00,25.00,12.95,0.00
16:36:41,26.70,25.00,0.00, 14.82,26.70,20.20,67.70, 28.30,-6.70,22.80,207.90, 55.94,120.88,30.93,31.18, 3.67,23.92,2.97,0.00, 0.00,25.00,20.00,25.00,12.96,0.00
16:36:42,26.70,25.00,0.00, 14.83,26.70,20.20,67.70, 28.30,-6.50,22.90,208.68, 55.85,120.89,31.08,30.81, 3.66,23.92,2.97,0.00, 0.00,25.00,20.00,25.00,12.95,0.00
16:36:43,26.70,25.00,0.00, 14.85,26.70,20.20,67.70, 28.30,-6.50,22.90,210.56, 54.14,120.92,31.10,30.94, 3.68,23.92,2.97,0.00, 0.00,25.00,20.00,25.00,12.96,0.00
16:36:44,26.70,25.00,0.00, 14.84,26.70,20.20,67.70, 28.30,-6.50,22.90,208.11, 55.60,120.90,30.99,31.10, 3.66,23.92,2.97,0.00, 0.00,25.00,20.00,25.00,12.96,0.00
16:36:45,26.70,25.00,0.00, 14.83,26.70,20.20,67.70, 28.30,-6.60,22.90,207.99, 56.50,120.94,31.00,30.97, 3.68,23.92,2.97,0.00, 0.00,25.00,20.00,25.00,12.96,0.00
16:36:46,26.70,25.00,0.00, 14.83,26.70,20.20,67.70, 28.30,-6.60,22.90,210.86, 54.05,120.94,31.30,30.90, 3.66,23.93,2.97,0.00, 0.00,25.00,20.00,25.00,12.96,0.00
16:36:47,26.70,25.00,0.00, 14.84,26.70,20.20,67.70, 28.30,-6.60,22.90,208.57, 55.14,120.95,31.05,30.97, 3.68,23.92,2.97,0.00, 0.00,25.00,20.00,25.00,12.95,0.00
16:36:48,26.70,25.00,0.00, 14.85,26.70,20.20,67.70, 28.30,-6.70,22.90,207.77, 56.38,121.02,31.03,31.06, 3.66,23.92,2.97,0.00, 0.00,25.00,20.00,25.00,12.95,0.00
16:36:49,26.70,25.00,0.00, 14.85,26.70,20.20,67.70, 28.30,-6.70,22.90,210.34, 54.44,121.05,31.29,31.13, 3.66,23.92,2.97,0.00, 0.00,25.00,20.00,25.00,12.95,0.00
16:36:50,26.70,25.00,0.00, 14.84,26.70,20.17,67.70, 28.40,-6.70,22.90,209.12, 54.74,121.02,31.16,31.15, 3.67,23.92,2.94,0.00, 0.00,25.00,20.00,25.00,12.95,0.00
16:36:51,26.70,25.00,0.00, 14.83,26.70,20.14,67.70, 28.40,-6.70,23.00,207.74, 56.12,121.06,30.89,31.14, 3.66,23.92,2.91,0.00, 0.00,25.00,20.00,25.00,12.95,0.00
