# START:9/3/2024 9:47:07 AM APP:tmon VERSION:0.91 FILE:tmon_rn-4.csv
# Ctrl Rate(secs):1
# PLC OC_VER=40001015 (0x2625df7) OC_VER(?)
Time,Temp,Setpt,Pwr,SucTmp,ChmTmp,ChlTmp,DisTmp,DrvTmp,DeSupTmp,DrvWTmp,DisPrs,SucPrs,InWPrs,OutWPrs,ChlPrs,PumpAmps,Humid,ChlPwr,ChmPwr,DrvPwr,ChmSet,ChlSet,DrvSet,CLevel,InwTmp
09:47:07,26.40,25.00,0.00, 13.27,26.40,19.90,67.60, 27.30,-8.40,20.90,200.41, 51.86,119.19,31.13,30.81, 3.60,31.30,2.24,0.00, 0.00,25.00,20.00,25.00,14.85,0.00
09:47:08,26.40,25.00,0.00, 13.28,26.40,19.90,67.60, 27.30,-8.40,20.90,201.39, 51.99,119.22,31.14,31.00, 3.62,31.31,2.24,0.00, 0.00,25.00,20.00,25.00,14.85,0.00
09:47:09,26.40,25.00,0.00, 13.26,26.40,19.90,67.50, 27.30,-8.40,20.90,204.00, 49.96,119.20,31.22,30.80, 3.60,31.31,2.24,0.00, 0.00,25.00,20.00,25.00,14.86,0.00
09:47:10,26.40,25.00,0.00, 13.25,26.40,19.90,67.50, 27.30,-8.40,20.90,201.10, 51.13,119.08,31.08,30.93, 3.62,31.31,2.24,0.00, 0.00,25.00,20.00,25.00,14.86,0.00
09:47:11,26.40,25.00,0.00, 13.24,26.40,19.90,67.50, 27.40,-8.50,21.00,200.57, 51.90,119.01,31.05,30.88, 3.62,31.31,2.24,0.00, 0.00,25.00,20.00,25.00,14.86,0.00
09:47:12,26.30,25.00,0.00, 13.23,26.30,19.90,67.50, 27.40,-8.50,21.00,201.47, 52.01,119.00,31.00,30.77, 3.61,31.31,2.24,0.00, 0.00,25.00,20.00,25.00,14.86,0.00
09:47:13,26.30,25.00,0.00, 13.23,26.30,19.90,67.60, 27.40,-8.20,21.10,204.09, 49.98,119.04,31.16,30.99, 3.61,31.31,2.24,0.00, 0.00,25.00,20.00,25.00,14.86,0.00
09:47:14,26.40,25.00,0.00, 13.22,26.40,19.90,67.60, 27.40,-8.20,21.10,201.11, 51.17,119.05,31.10,30.79, 3.61,31.31,2.24,0.00, 0.00,25.00,20.00,25.00,14.86,0.00
09:47:15,26.40,25.00,0.00, 13.22,26.40,19.90,67.50, 27.40,-8.20,21.10,200.64, 51.91,119.09,31.12,30.81, 3.62,31.31,2.24,0.00, 0.00,25.00,20.00,25.00,14.86,0.00
09:47:16,26.40,25.00,0.00, 13.22,26.40,19.90,67.50, 27.40,-8.30,21.00,201.05, 52.10,119.07,31.20,30.83, 3.62,31.32,2.24,0.00, 0.00,25.00,20.00,25.00,14.85,0.00
