# START:3/14/2024 9:47:52 AM APP:tmon VERSION:0.91 FILE:tmon_rn-1.csv
# Ctrl Rate(secs):1
# PLC OC_VER=40002009 (0x26261d9) OC_VER(?)
Time,Temp,Setpt,Pwr,SucTmp,ChmTmp,ChlTmp,DisTmp,DrvTmp,DeSupTmp,DrvWTmp,DisPrs,SucPrs,InWPrs,OutWPrs,ChlPrs,PumpAmps,Humid,ChlPwr,ChmPwr,DrvPwr,ChmSet,ChlSet,DrvSet,CLevel,InwTmp
09:47:52,25.30,25.00,14.58, 14.10,25.30,19.40,66.30, 25.80,-5.50,25.90,207.63, 55.70,77.75,22.98,31.18, 4.05,35.91,3.02,14.58, 33.53,25.00,20.00,25.00,16.10,0.00
09:47:53,25.30,25.00,14.58, 14.10,25.30,19.40,66.30, 25.80,-5.50,25.90,207.64, 55.71,77.76,23.01,31.38, 4.05,35.91,3.02,14.61, 34.30,25.00,20.00,25.00,16.10,0.00
09:47:54,25.30,25.00,14.67, 14.08,25.30,19.40,66.30, 25.80,-5.50,25.90,207.62, 55.67,77.56,23.00,31.08, 4.05,35.91,3.02,14.70, 34.95,25.00,20.00,25.00,16.10,0.00
09:47:55,25.30,25.00,14.70, 14.07,25.30,19.40,66.30, 25.80,-5.50,25.90,207.58, 55.68,77.56,23.03,31.26, 4.05,35.91,3.02,14.73, 35.06,25.00,20.00,25.00,16.12,0.00
09:47:56,25.30,25.00,14.79, 14.03,25.30,19.40,66.20, 25.80,-5.50,25.90,207.58, 55.69,77.70,22.96,31.22, 4.05,35.92,3.02,14.82, 35.52,25.00,20.00,25.00,16.12,0.00
09:47:57,25.30,25.00,14.85, 14.00,25.30,19.40,66.20, 25.80,-5.50,26.00,207.57, 55.61,76.29,23.01,31.16, 4.05,35.92,3.02,14.88, 37.28,25.00,20.00,25.00,16.12,0.00
09:47:58,25.30,25.00,14.91, 13.98,25.30,19.40,66.20, 25.80,-5.50,26.00,207.55, 55.55,76.14,23.05,31.27, 4.05,35.92,3.02,14.94, 37.69,25.00,20.00,25.00,16.12,0.00
09:47:59,25.40,25.00,14.97, 13.97,25.40,19.40,66.20, 25.80,-5.50,26.00,207.54, 55.55,77.40,22.90,31.16, 4.05,35.92,3.02,16.26, 37.92,25.00,20.00,25.00,16.10,0.00
09:48:00,25.40,25.00,16.77, 13.96,25.40,19.40,66.20, 25.80,-5.50,26.00,207.52, 55.51,77.44,23.05,31.35, 4.05,35.92,3.02,16.98, 38.13,25.00,20.00,25.00,16.10,0.00
09:48:01,25.40,25.00,17.09, 13.94,25.40,19.40,66.20, 25.80,-5.50,26.00,207.46, 55.40,77.57,23.10,31.27, 4.06,35.92,3.02,17.15, 38.33,25.00,20.00,25.00,16.10,0.00
