# START:4/16/2024 2:41:42 PM APP:tmon VERSION:0.91 FILE:tmon_rn-7.csv
# Ctrl Rate(secs):1
# PLC OC_VER=40002009 (0x26261d9) OC_VER(?)
Time,Temp,Setpt,Pwr,SucTmp,ChmTmp,ChlTmp,DisTmp,DrvTmp,DeSupTmp,DrvWTmp,DisPrs,SucPrs,InWPrs,OutWPrs,ChlPrs,PumpAmps,Humid,ChlPwr,ChmPwr,DrvPwr,ChmSet,ChlSet,DrvSet,CLevel,InwTmp
14:41:43,25.60,25.00,28.84, 14.41,25.60,20.30,65.70, 25.40,-4.70,23.50,205.09, 56.40,100.89,23.31,31.21, 4.02,36.67,3.98,27.67, 1.72,25.00,20.00,25.00,15.15,0.00
14:41:44,25.60,25.00,27.25, 14.41,25.60,20.30,65.70, 25.40,-4.70,23.50,205.11, 56.41,101.08,23.29,31.30, 4.02,36.67,3.98,27.13, 1.44,25.00,20.00,25.00,15.15,0.00
14:41:45,25.60,25.00,27.13, 14.40,25.60,20.30,65.70, 25.40,-4.70,23.60,205.12, 56.39,101.05,23.31,31.29, 4.02,36.67,3.98,27.21, 2.79,25.00,20.00,25.00,15.15,0.00
14:41:46,25.50,25.00,26.40, 14.40,25.50,20.30,65.70, 25.40,-4.70,23.60,205.11, 56.38,100.83,23.26,31.14, 4.02,36.67,3.98,25.73, 2.83,25.00,20.00,25.00,15.15,0.00
14:41:47,25.50,25.00,25.73, 14.40,25.50,20.30,65.70, 25.40,-4.70,23.60,205.06, 56.34,100.34,23.34,31.29, 4.02,36.67,3.98,25.52, 2.72,25.00,20.00,25.00,15.15,0.00
14:41:48,25.50,25.00,25.49, 14.40,25.50,20.30,65.70, 25.40,-4.70,23.70,205.02, 56.33,100.66,23.40,30.55, 4.04,36.67,3.98,25.49, 3.96,25.00,20.00,25.00,15.15,0.00
14:41:49,25.40,25.00,24.13, 14.40,25.40,20.30,65.70, 25.40,-4.70,23.70,205.04, 56.42,100.65,23.37,31.01, 4.04,36.67,3.98,23.81, 4.05,25.00,20.00,25.00,15.15,0.00
14:41:50,25.40,25.00,23.72, 14.40,25.40,20.30,65.70, 25.40,-4.70,23.70,205.06, 56.43,100.90,23.41,31.19, 4.02,36.67,3.98,23.71, 3.81,25.00,20.00,25.00,15.15,0.00
14:41:51,25.40,25.00,23.73, 14.40,25.40,20.30,65.70, 25.40,-4.70,23.80,205.12, 56.40,100.87,23.36,31.17, 4.02,36.67,3.98,23.77, 4.52,25.00,20.00,25.00,15.15,0.00
14:41:52,25.40,25.00,23.80, 14.41,25.20,20.30,65.70, 25.40,-4.70,23.80,205.08, 56.36,100.91,23.39,31.28, 4.02,36.67,3.98,22.20, 5.18,25.00,20.00,25.00,15.15,0.00
14:41:52,25.20,25.00,20.73, 14.43,25.20,20.33,65.70, 25.40,-4.70,23.80,205.02, 56.32,100.94,23.38,31.32, 4.02,36.67,4.01,20.73, 5.15,25.00,20.00,25.00,15.15,0.00
14:41:54,25.20,25.00,20.02, 14.44,25.20,20.36,65.60, 25.50,-4.70,23.80,205.02, 56.38,100.93,23.43,31.33, 4.01,36.67,4.04,20.02, 4.95,25.00,20.00,25.00,15.15,0.00
