# START:4/24/2024 10:00:40 AM APP:tmon VERSION:0.91 FILE:tmon_rn-10.csv
# Ctrl Rate(secs):1
# PLC OC_VER=40002009 (0x26261d9) OC_VER(?)
Time,Temp,Setpt,Pwr,SucTmp,ChmTmp,ChlTmp,DisTmp,DrvTmp,DeSupTmp,DrvWTmp,DisPrs,SucPrs,InWPrs,OutWPrs,ChlPrs,PumpAmps,Humid,ChlPwr,ChmPwr,DrvPwr,ChmSet,ChlSet,DrvSet,CLevel,InwTmp
10:00:40,25.90,25.00,0.00, 13.96,25.90,20.00,65.80, 26.10,-5.00,24.70,204.32, 55.63,100.45,23.28,31.28, 4.04,28.87,3.44,0.00, 10.23,25.00,20.00,25.00,15.12,0.00
10:00:41,25.90,25.00,0.00, 13.95,25.90,20.00,65.80, 26.10,-5.00,24.70,204.35, 55.67,100.22,23.26,31.20, 4.03,28.87,3.44,0.00, 10.29,25.00,20.00,25.00,15.12,0.00
10:00:42,25.90,25.00,0.00, 13.96,25.90,20.00,65.80, 26.10,-5.00,24.70,204.36, 55.61,100.41,23.24,31.32, 4.03,28.87,3.44,0.00, 10.28,25.00,20.00,25.00,15.12,0.00
10:00:43,25.90,25.00,0.00, 13.97,25.90,20.00,65.80, 26.10,-5.00,24.70,204.32, 55.53,100.43,23.26,31.18, 4.04,28.87,3.44,0.00, 10.22,25.00,20.00,25.00,15.12,0.00
10:00:44,25.90,25.00,0.00, 13.97,25.90,20.00,65.80, 26.10,-5.00,24.70,204.31, 55.59,101.29,23.27,31.22, 4.04,28.87,3.44,0.00, 10.16,25.00,20.00,25.00,15.15,0.00
10:00:45,25.90,25.00,0.00, 13.98,25.90,20.00,65.80, 26.10,-5.00,24.70,204.30, 55.52,100.25,23.24,31.21, 4.03,28.87,3.44,0.00, 10.10,25.00,20.00,25.00,15.12,0.00
10:00:46,25.90,25.00,0.00, 13.98,25.90,20.00,65.70, 26.20,-5.00,24.70,204.32, 55.58,100.30,23.27,31.32, 4.03,28.87,3.44,0.00, 10.04,25.00,20.00,25.00,15.12,0.00
10:00:47,25.90,25.00,0.00, 13.98,25.90,20.00,65.70, 26.20,-5.00,24.70,204.31, 55.61,100.57,23.28,31.19, 4.03,28.87,3.44,0.00, 9.98,25.00,20.00,25.00,15.12,0.00
10:00:48,25.90,25.00,0.00, 13.99,25.90,20.00,65.80, 26.20,-5.00,24.70,204.37, 55.56,101.07,23.28,31.27, 4.03,28.87,3.44,0.00, 9.92,25.00,20.00,25.00,15.15,0.00
10:00:49,25.90,25.00,0.00, 13.99,25.90,20.00,65.80, 26.20,-5.10,24.80,204.36, 55.60,100.02,23.25,31.32, 4.03,28.87,3.44,0.00, 10.16,25.00,20.00,25.00,15.15,0.00
10:00:50,25.90,25.00,0.00, 13.99,25.90,20.00,65.80, 26.20,-5.10,24.80,204.35, 55.61,99.72,23.24,31.38, 4.03,28.87,3.44,0.00, 11.59,25.00,20.00,25.00,15.15,0.00
10:00:51,25.90,25.00,0.00, 13.99,25.90,20.00,65.80, 26.20,-5.10,24.80,204.39, 55.61,100.01,23.24,31.27, 4.04,28.87,3.44,0.00, 11.75,25.00,20.00,25.00,15.12,0.00
10:00:52,25.90,25.00,0.00, 13.99,25.90,20.00,65.80, 26.20,-5.10,24.80,204.42, 55.61,100.62,23.19,31.25, 4.03,28.87,3.44,0.00, 11.74,25.00,20.00,25.00,15.12,0.00
10:00:53,25.90,25.00,0.00, 14.00,25.90,20.00,65.80, 26.20,-5.10,24.80,204.35, 55.57,100.67,23.17,31.24, 4.04,28.87,3.44,0.00, 11.70,25.00,20.00,25.00,15.12,0.00
10:00:54,25.90,25.00,0.00, 14.00,25.90,20.00,65.80, 26.20,-5.10,24.80,204.35, 55.54,100.48,23.22,31.11, 4.03,28.88,3.44,0.00, 11.66,25.00,20.00,25.00,15.12,0.00
10:00:55,25.90,25.00,0.00, 14.00,25.90,20.00,65.80, 26.20,-5.00,24.90,204.37, 55.57,101.09,23.17,31.21, 4.04,28.88,3.44,0.00, 12.34,25.00,20.00,25.00,15.15,0.00
