# START:5/7/2024 10:26:20 AM APP:tmon VERSION:0.91 FILE:tmon_sn-11001_rn-4.csv
# Ctrl Rate(secs):1
# PLC OC_VER=40002009 (0x26261d9) OC_VER(?)
Time,Temp,Setpt,Pwr,SucTmp,ChmTmp,ChlTmp,DisTmp,DrvTmp,DeSupTmp,DrvWTmp,DisPrs,SucPrs,InWPrs,OutWPrs,ChlPrs,PumpAmps,Humid,ChlPwr,ChmPwr,DrvPwr,ChmSet,ChlSet,DrvSet,CLevel,InwTmp
10:26:21,25.70,25.00,0.00, 14.00,25.70,19.77,65.60, 25.30,-5.00,24.20,204.05, 55.74,99.88,23.30,31.38, 4.01,27.66,3.10,0.00, 2.12,25.00,20.00,25.00,14.45,0.00
10:26:22,25.70,25.00,0.00, 14.00,25.70,19.74,65.60, 25.30,-5.00,24.20,204.03, 55.66,100.02,23.31,31.38, 4.01,27.66,3.06,0.00, 1.88,25.00,20.00,25.00,14.45,0.00
10:26:23,25.70,25.00,0.00, 14.00,25.70,19.73,65.60, 25.30,-5.00,24.20,204.00, 55.71,99.40,23.28,31.47, 4.01,27.66,3.05,0.00, 1.80,25.00,20.00,25.00,14.45,0.00
10:26:24,25.80,25.00,0.00, 14.02,25.80,19.72,65.60, 25.30,-5.00,24.20,203.97, 55.72,99.52,23.29,31.39, 4.01,27.66,3.04,0.00, 1.64,25.00,20.00,25.00,14.45,0.00
10:26:25,25.80,25.00,0.00, 14.03,25.80,19.75,65.60, 25.40,-5.00,24.30,204.01, 55.76,99.83,23.27,31.29, 4.01,27.66,3.07,0.00, 1.48,25.00,20.00,25.00,14.45,0.00
10:26:26,25.80,25.00,0.00, 14.05,25.80,19.77,65.60, 25.40,-5.00,24.30,204.02, 55.76,99.83,23.29,31.37, 4.01,27.66,3.09,0.00, 2.87,25.00,20.00,25.00,14.45,0.00
10:26:27,25.80,25.00,0.00, 14.06,25.80,19.75,65.60, 25.50,-5.00,24.30,204.01, 55.77,100.00,23.31,31.26, 4.01,27.66,3.09,0.00, 3.13,25.00,20.00,25.00,14.45,0.00
10:26:28,25.80,25.00,0.00, 14.06,25.80,19.73,65.60, 25.50,-4.90,24.40,203.97, 55.76,100.19,23.31,31.59, 4.01,27.66,3.06,0.00, 4.34,25.00,20.00,25.00,14.45,0.00
10:26:29,25.80,25.00,0.00, 14.07,25.80,19.72,65.60, 25.50,-4.90,24.40,203.98, 55.76,100.14,23.33,31.50, 4.01,27.66,3.04,0.00, 4.69,25.00,20.00,25.00,14.45,0.00
10:26:30,25.80,25.00,0.00, 14.08,25.80,19.71,65.60, 25.40,-4.90,24.40,204.00, 55.75,99.98,23.35,31.47, 4.01,27.66,3.04,0.00, 4.77,25.00,20.00,25.00,14.45,0.00
10:26:31,25.80,25.00,0.00, 14.08,25.80,19.71,65.60, 25.40,-4.90,24.40,204.00, 55.74,100.04,23.38,31.50, 4.02,27.67,3.03,0.00, 4.68,25.00,20.00,25.00,14.47,0.00
