# START:5/29/2024 1:44:36 PM APP:tmon VERSION:0.91 FILE:tmon_sn-11001_rn-15.csv
# Ctrl Rate(secs):1
# PLC OC_VER=40002009 (0x26261d9) OC_VER(?)
Time,Temp,Setpt,Pwr,SucTmp,ChmTmp,ChlTmp,DisTmp,DrvTmp,DeSupTmp,DrvWTmp,DisPrs,SucPrs,InWPrs,OutWPrs,ChlPrs,PumpAmps,Humid,ChlPwr,ChmPwr,DrvPwr,ChmSet,ChlSet,DrvSet,CLevel,InwTmp
13:44:36,26.20,25.00,0.00, 14.40,26.20,20.13,65.90, 26.00,-4.70,23.70,205.28, 56.07,95.54,23.72,31.28, 4.03,28.95,4.12,0.00, 0.00,25.00,20.00,25.00,14.31,0.00
13:44:37,26.20,25.00,0.00, 14.40,26.20,20.12,65.90, 26.00,-4.70,23.70,205.28, 56.01,95.74,23.73,31.25, 4.03,28.95,4.11,0.00, 0.00,25.00,20.00,25.00,14.31,0.00
13:44:38,26.20,25.00,0.00, 14.40,26.20,20.13,65.90, 26.00,-4.70,23.70,205.22, 56.04,95.74,23.73,31.20, 4.03,28.95,4.12,0.00, 0.00,25.00,20.00,25.00,14.31,0.00
13:44:39,26.20,25.00,0.00, 14.40,26.20,20.16,65.90, 26.00,-4.70,23.70,205.22, 56.09,95.72,23.76,31.18, 4.03,28.95,4.15,0.00, 0.00,25.00,20.00,25.00,14.30,0.00
13:44:40,26.20,25.00,0.00, 14.39,26.20,20.17,65.90, 26.00,-4.70,23.70,205.22, 56.02,95.59,23.71,31.21, 4.03,28.95,4.16,0.00, 0.00,25.00,20.00,25.00,14.31,0.00
13:44:41,26.20,25.00,0.00, 14.37,26.20,20.19,65.90, 26.00,-4.70,23.70,205.23, 56.04,95.59,23.72,31.25, 4.03,28.95,4.17,0.00, 0.00,25.00,20.00,25.00,14.33,0.00
13:44:42,26.10,25.00,0.00, 14.36,26.10,20.16,65.90, 26.00,-4.70,23.70,205.18, 56.04,95.53,23.76,31.14, 4.03,28.95,4.16,0.00, 0.00,25.00,20.00,25.00,14.31,0.00
13:44:43,26.10,25.00,0.00, 14.35,26.10,20.14,65.90, 26.00,-4.70,23.80,205.18, 56.08,95.61,23.74,31.10, 4.03,28.95,4.13,0.00, 0.00,25.00,20.00,25.00,14.33,0.00
13:44:44,26.10,25.00,0.00, 14.34,26.10,20.12,65.90, 26.00,-4.70,23.80,205.16, 56.01,95.62,23.72,31.27, 4.03,28.95,4.11,0.00, 0.00,25.00,20.00,25.00,14.33,0.00
13:44:45,26.20,25.00,0.00, 14.36,26.20,20.11,65.90, 26.00,-4.70,23.80,205.14, 56.01,95.73,23.76,31.22, 4.04,28.95,4.10,0.00, 0.00,25.00,20.00,25.00,14.33,0.00
