# START:6/5/2024 9:56:11 AM APP:tmon VERSION:0.91 FILE:tmon_sn-11001_rn-18.csv
# Ctrl Rate(secs):1
# PLC OC_VER=40002009 (0x26261d9) OC_VER(?)
Time,Temp,Setpt,Pwr,SucTmp,ChmTmp,ChlTmp,DisTmp,DrvTmp,DeSupTmp,DrvWTmp,DisPrs,SucPrs,InWPrs,OutWPrs,ChlPrs,PumpAmps,Humid,ChlPwr,ChmPwr,DrvPwr,ChmSet,ChlSet,DrvSet,CLevel,InwTmp
09:56:11,24.70,25.00,2.50, 14.00,24.70,20.10,65.60, 25.50,-5.20,25.80,204.45, 56.21,94.98,24.19,31.33, 4.02,38.93,3.87,2.50, 33.36,25.00,20.00,25.00,14.36,0.00
09:56:12,24.70,25.00,2.47, 14.00,24.70,20.10,65.60, 25.50,-5.20,25.80,205.23, 55.92,94.69,24.23,31.37, 4.03,38.93,3.87,2.47, 33.56,25.00,20.00,25.00,14.33,0.00
09:56:13,24.70,25.00,2.42, 14.00,24.70,20.10,65.60, 25.50,-5.20,25.80,205.58, 55.58,95.04,24.17,31.28, 4.03,38.93,3.87,2.42, 33.78,25.00,20.00,25.00,14.33,0.00
09:56:14,24.70,25.00,2.36, 14.00,24.70,20.10,65.60, 25.50,-5.10,25.80,205.44, 55.56,94.80,24.19,31.40, 4.03,38.93,3.88,2.33, 34.03,25.00,20.00,25.00,14.33,0.00
09:56:15,24.70,25.00,2.30, 14.00,24.70,20.10,65.60, 25.50,-5.10,25.80,204.02, 55.94,94.79,24.19,31.42, 4.03,38.93,3.88,2.27, 34.19,25.00,20.00,25.00,14.33,0.00
09:56:16,24.70,25.00,2.24, 14.00,24.70,20.10,65.60, 25.50,-5.10,25.80,204.08, 56.18,94.78,24.18,31.27, 4.03,38.93,3.88,2.24, 34.27,25.00,20.00,25.00,14.33,0.00
09:56:17,24.80,25.00,2.18, 14.00,24.80,20.10,65.60, 25.50,-5.10,25.80,205.01, 56.01,95.01,24.19,31.42, 4.03,38.93,3.88,3.25, 34.51,25.00,20.00,25.00,14.33,0.00
09:56:18,24.80,25.00,3.80, 14.00,24.80,20.14,65.60, 25.50,-5.10,25.80,205.41, 55.72,94.95,24.18,31.27, 4.03,38.93,3.92,3.99, 34.67,25.00,20.00,25.00,14.33,0.00
09:56:19,24.80,25.00,4.05, 14.00,24.80,20.16,65.60, 25.50,-5.10,25.80,205.56, 55.49,94.57,24.24,31.34, 4.03,38.93,3.94,4.05, 34.75,25.00,20.00,25.00,14.33,0.00
09:56:20,24.80,25.00,4.04, 14.00,24.80,20.18,65.60, 25.50,-5.10,25.80,205.10, 55.57,94.03,24.17,31.37, 4.03,38.93,3.96,4.03, 34.99,25.00,20.00,25.00,14.33,0.00
