# START:10/14/2024 2:17:43 PM APP:tmon VERSION:0.91 FILE:tmon_sn-11001_rn-37.csv
# Ctrl Rate(secs):1
# PLC OC_VER=40002009 (0x26261d9) OC_VER(?)
Time,Temp,Setpt,Pwr,SucTmp,ChmTmp,ChlTmp,DisTmp,DrvTmp,DeSupTmp,DrvWTmp,DisPrs,SucPrs,InWPrs,OutWPrs,ChlPrs,PumpAmps,Humid,ChlPwr,ChmPwr,DrvPwr,ChmSet,ChlSet,DrvSet,CLevel,InwTmp
14:17:43,24.00,25.00,0.00, 14.72,24.00,12.67,64.30, 25.90,-5.30,25.40,200.14, 55.57,94.79,24.25,30.39, 3.94,36.05,4.52,0.00, 23.40,25.00,12.00,25.00,14.84,0.00
14:17:44,24.00,25.00,0.00, 14.57,24.00,12.60,64.30, 25.90,-5.50,25.40,194.91, 60.85,96.06,23.50,30.47, 3.94,36.05,4.44,0.00, 23.48,25.00,12.00,25.00,14.84,0.00
14:17:45,24.00,25.00,0.00, 14.40,24.00,12.56,64.30, 25.90,-5.50,25.40,199.77, 57.58,95.33,24.18,30.52, 3.94,36.05,4.40,0.00, 23.56,25.00,12.00,25.00,14.84,0.00
14:17:46,24.00,25.00,0.00, 14.21,24.00,12.50,64.20, 25.90,-5.00,25.40,194.84, 62.26,95.28,23.85,30.21, 3.94,36.05,4.34,0.00, 23.64,25.00,12.00,25.00,14.84,0.00
14:17:47,24.00,25.00,0.00, 14.03,24.00,12.46,64.20, 25.90,-5.00,25.50,201.84, 55.03,95.23,24.31,30.32, 3.94,36.05,4.29,0.00, 25.25,25.00,12.00,25.00,14.84,0.00
14:17:48,24.00,25.00,0.00, 13.84,24.00,12.37,64.00, 25.90,-5.00,25.50,200.08, 60.27,94.69,24.08,30.51, 3.94,36.05,4.21,0.00, 25.76,25.00,12.00,25.00,14.87,0.00
14:17:49,24.00,25.00,0.00, 13.68,24.00,12.31,64.00, 25.90,-4.50,25.50,197.63, 59.95,95.47,23.96,30.41, 3.94,36.05,4.13,0.00, 25.92,25.00,12.00,25.00,14.84,0.00
14:17:50,24.00,25.00,0.00, 13.51,24.00,12.21,63.90, 25.90,-4.50,25.50,202.56, 54.62,94.81,24.21,30.39, 3.94,36.05,4.05,0.00, 26.03,25.00,12.00,25.00,14.87,0.00
14:17:51,24.00,25.00,0.00, 13.34,24.00,12.10,63.90, 25.90,-4.50,25.50,202.40, 54.41,94.83,24.15,30.48, 3.94,36.05,3.91,0.00, 26.18,25.00,12.00,25.00,14.84,0.00
14:17:53,24.00,25.00,0.00, 13.25,24.00,12.06,63.90, 25.90,-4.30,25.50,201.06, 56.08,94.72,24.00,30.45, 3.95,36.05,3.85,0.00, 26.33,25.00,12.00,25.00,14.87,0.00
14:17:54,24.00,25.00,0.00, 13.15,24.00,12.04,63.90, 25.90,-4.30,25.50,195.33, 60.59,95.19,23.98,30.42, 3.96,36.05,3.84,0.00, 26.38,25.00,12.00,25.00,14.87,0.00
14:17:54,24.00,25.00,0.00, 13.08,24.00,12.03,63.80, 25.90,-4.30,25.50,200.16, 56.63,94.44,23.89,30.43, 3.95,36.05,3.83,0.00, 26.43,25.00,12.00,25.00,14.87,0.00
14:17:55,24.00,25.00,0.00, 12.99,24.00,12.02,63.80, 25.90,-4.30,25.50,195.43, 60.27,93.96,23.88,30.34, 3.95,36.05,3.81,0.00, 26.53,25.00,12.00,25.00,14.87,0.00
14:17:56,24.00,25.00,0.00, 12.90,24.00,12.01,63.70, 25.80,-4.30,25.50,195.43, 58.55,94.70,23.67,30.37, 3.96,36.05,3.80,0.00, 26.63,25.00,12.00,25.00,14.86,0.00
14:17:57,24.00,25.00,0.00, 12.82,24.00,12.01,63.70, 25.80,-4.30,25.50,200.64, 54.11,94.65,23.93,30.41, 3.96,36.05,3.80,0.00, 26.73,25.00,12.00,25.00,14.87,0.00
14:17:58,24.00,25.00,0.00, 12.77,24.00,12.00,63.70, 25.80,-4.30,25.50,196.29, 58.93,94.47,23.80,30.31, 3.96,36.05,3.80,0.00, 26.83,25.00,12.00,25.00,14.86,0.00
14:17:59,24.00,25.00,0.00, 12.72,24.00,12.00,63.60, 25.90,-4.30,25.50,194.35, 59.39,95.44,23.68,30.35, 3.96,36.05,3.79,0.00, 26.93,25.00,12.00,25.00,14.87,0.00
14:18:00,24.00,25.00,0.00, 12.68,24.00,12.00,63.60, 25.90,-4.30,25.50,200.35, 54.46,95.57,24.00,30.27, 3.96,36.05,3.79,0.00, 27.03,25.00,12.00,25.00,14.87,0.00
14:18:01,24.00,25.00,0.00, 12.65,24.00,12.00,63.70, 25.90,-4.10,25.50,196.97, 58.35,95.66,23.67,30.39, 3.96,36.05,3.79,0.00, 27.13,25.00,12.00,25.00,14.87,0.00
14:18:02,24.00,25.00,0.00, 12.62,24.00,12.00,63.70, 25.90,-4.10,25.60,194.72, 59.58,96.05,23.62,30.30, 3.96,36.05,3.79,0.00, 28.72,25.00,12.00,25.00,14.87,0.00
14:18:03,24.00,25.00,0.00, 12.60,24.00,12.03,63.60, 25.90,-4.10,25.60,200.55, 54.40,97.02,23.87,30.22, 3.96,36.05,3.82,0.00, 29.29,25.00,12.00,25.00,14.86,0.00
14:18:04,24.00,25.00,0.00, 12.58,24.00,12.06,63.60, 25.90,-4.10,25.60,198.69, 56.83,95.23,23.92,30.29, 3.96,36.05,3.85,0.00, 29.47,25.00,12.00,25.00,14.86,0.00
