# START:4/2/2024 9:35:35 AM APP:tmon VERSION:0.91 FILE:tmon_rn-4.csv
# Ctrl Rate(secs):1
# PLC OC_VER=40002013 (0x26261dd) OC_VER(?)
Time,Temp,Setpt,Pwr,SucTmp,ChmTmp,ChlTmp,DisTmp,DrvTmp,DeSupTmp,DrvWTmp,DisPrs,SucPrs,InWPrs,OutWPrs,ChlPrs,PumpAmps,Humid,ChlPwr,ChmPwr,DrvPwr,ChmSet,ChlSet,DrvSet,CLevel,InwTmp
09:35:35,25.80,25.00,0.00, 13.80,25.80,20.00,64.60, 29.00,-3.30,27.70,204.19, 57.26,98.01,24.45,32.21, 3.58,29.74,4.23,0.00, 63.88,25.00,20.00,25.00,16.25,29.10
09:35:36,25.80,25.00,0.00, 13.80,25.80,20.00,64.60, 29.00,-3.30,27.70,204.23, 57.31,97.62,24.48,31.97, 3.56,29.74,4.23,0.00, 67.41,25.00,20.00,25.00,16.28,29.10
09:35:37,25.80,25.00,0.00, 13.80,25.80,20.00,64.60, 29.00,-3.30,28.50,204.21, 57.27,97.74,24.57,31.86, 3.56,29.74,4.23,0.00, 79.99,25.00,20.00,25.00,16.28,29.10
09:35:38,25.80,25.00,0.00, 13.80,25.80,20.00,64.60, 29.00,-3.30,28.50,204.19, 57.25,95.99,24.60,32.27, 3.55,29.74,4.23,0.00, 84.58,25.00,20.00,25.00,16.25,29.10
09:35:39,25.80,25.00,0.00, 13.80,25.80,20.00,64.60, 29.00,-3.30,28.50,204.20, 57.26,97.25,24.61,32.35, 3.56,29.74,4.23,0.00, 85.80,25.00,20.00,25.00,16.28,29.10
09:35:40,25.80,25.00,0.00, 13.80,25.80,20.00,64.60, 29.00,-3.30,28.50,204.21, 57.27,96.62,24.68,32.19, 3.56,29.74,4.23,0.00, 86.58,25.00,20.00,25.00,16.28,29.10
09:35:41,25.80,25.00,0.00, 13.80,25.80,20.00,64.60, 29.00,-3.30,29.30,204.27, 57.28,96.56,24.77,32.61, 3.57,29.74,4.23,0.00, 100.00,25.00,20.00,25.00,16.28,29.10
09:35:42,25.80,25.00,0.00, 13.80,25.80,20.00,64.60, 29.00,-3.30,29.30,204.25, 57.27,96.31,24.80,32.33, 3.58,29.74,4.23,0.00, 100.00,25.00,20.00,25.00,16.28,29.10
09:35:43,25.80,25.00,0.00, 13.80,25.80,20.00,64.60, 29.00,-3.30,29.60,204.23, 57.29,95.92,24.83,32.57, 3.57,29.74,4.23,0.00, 100.00,25.00,20.00,25.00,16.28,29.10
09:35:44,25.80,25.00,0.00, 13.80,25.80,20.00,64.50, 29.00,-3.30,29.60,204.26, 57.24,95.45,24.86,32.15, 3.57,29.74,4.23,0.00, 100.00,25.00,20.00,25.00,16.28,29.10
