# START:5/8/2024 1:30:43 PM APP:tmon VERSION:0.91 FILE:tmon_rn-14.csv
# Ctrl Rate(secs):1
# PLC OC_VER=40002013 (0x26261dd) OC_VER(?)
Time,Temp,Setpt,Pwr,SucTmp,ChmTmp,ChlTmp,DisTmp,DrvTmp,DeSupTmp,DrvWTmp,DisPrs,SucPrs,InWPrs,OutWPrs,ChlPrs,PumpAmps,Humid,ChlPwr,ChmPwr,DrvPwr,ChmSet,ChlSet,DrvSet,CLevel,InwTmp
13:30:43,24.80,25.00,16.62, 13.72,24.80,20.00,65.00, 29.60,-3.30,21.20,205.76, 57.26,97.15,24.30,31.77, 3.56,35.60,4.41,16.60, 0.00,25.00,20.00,25.00,15.14,30.20
13:30:44,24.80,25.00,16.60, 13.72,24.80,20.00,65.00, 29.60,-3.30,21.20,205.68, 57.41,95.94,24.09,31.92, 3.56,35.60,4.41,16.58, 0.00,25.00,20.00,25.00,15.14,30.20
13:30:45,24.70,25.00,16.58, 13.72,24.70,20.00,65.00, 29.60,-3.30,21.20,205.24, 57.83,96.44,24.12,32.11, 3.56,35.60,4.41,15.37, 0.00,25.00,20.00,25.00,15.11,30.20
13:30:46,24.70,25.00,14.83, 13.71,24.70,20.00,65.00, 29.60,-3.30,21.20,205.02, 58.68,95.98,24.20,31.68, 3.58,35.59,4.41,14.61, 0.00,25.00,20.00,25.00,15.11,30.20
13:30:47,24.70,25.00,14.45, 13.71,24.70,20.00,65.00, 29.60,-3.10,21.20,205.35, 58.55,95.49,24.14,31.83, 3.57,35.59,4.41,14.41, 0.00,25.00,20.00,25.00,15.11,30.20
13:30:48,24.70,25.00,14.38, 13.71,24.70,20.00,65.00, 29.60,-3.10,21.30,205.47, 58.31,95.58,24.28,32.11, 3.57,35.59,4.41,14.38, 0.00,25.00,20.00,25.00,15.11,30.30
13:30:49,24.70,25.00,14.32, 13.71,24.70,20.00,65.00, 29.60,-3.10,21.30,205.93, 57.95,95.42,24.26,31.48, 3.57,35.58,4.41,14.32, 0.00,25.00,20.00,25.00,15.11,30.30
13:30:50,24.70,25.00,14.26, 13.71,24.70,20.00,65.00, 29.60,-3.00,21.40,206.31, 57.74,95.46,24.19,31.95, 3.56,35.58,4.41,14.26, 0.00,25.00,20.00,25.00,15.11,30.30
13:30:51,24.60,25.00,12.99, 13.70,24.60,20.00,65.00, 29.60,-3.00,21.40,206.64, 57.61,96.01,24.33,31.82, 3.59,35.58,4.41,12.99, 0.00,25.00,20.00,25.00,15.11,30.30
13:30:52,24.60,25.00,12.22, 13.70,24.60,20.00,65.00, 29.60,-3.10,21.50,206.80, 57.57,94.45,24.39,31.62, 3.57,35.58,4.41,12.22, 0.00,25.00,20.00,25.00,15.11,30.20
13:30:53,24.60,25.00,12.05, 13.70,24.60,20.00,65.00, 29.60,-3.10,21.50,207.03, 57.58,95.70,24.40,31.91, 3.58,35.57,4.41,12.05, 0.00,25.00,20.00,25.00,15.11,30.20
13:30:54,24.60,25.00,11.96, 13.70,24.60,20.00,65.00, 29.60,-3.10,21.50,207.13, 57.56,94.95,24.33,31.74, 3.55,35.57,4.41,11.96, 0.00,25.00,20.00,25.00,15.11,30.20
13:30:55,24.60,25.00,11.87, 13.70,24.60,20.00,65.00, 29.60,-3.10,21.50,207.17, 57.61,95.13,24.45,30.97, 3.57,35.57,4.41,11.87, 0.00,25.00,20.00,25.00,15.11,30.20
13:30:56,24.60,25.00,11.79, 13.72,24.60,20.02,65.00, 29.60,-3.10,21.50,207.17, 57.57,95.13,24.29,31.73, 3.56,35.57,4.43,11.79, 0.00,25.00,20.00,25.00,15.11,30.20
13:30:57,24.60,25.00,11.71, 13.73,24.60,20.05,65.00, 29.60,-3.10,21.50,207.06, 57.56,95.34,24.28,31.58, 3.59,35.57,4.46,11.71, 0.00,25.00,20.00,25.00,15.11,30.20
13:30:58,24.60,25.00,11.63, 13.75,24.60,20.05,65.00, 29.60,-3.10,21.50,206.99, 57.57,95.29,24.33,31.84, 3.58,35.56,4.47,11.63, 0.00,25.00,20.00,25.00,15.11,30.20
13:30:59,24.60,25.00,11.55, 13.76,24.60,20.03,65.00, 29.60,-3.10,21.50,206.83, 57.54,94.76,24.36,32.09, 3.58,35.56,4.43,11.51, 0.00,25.00,20.00,25.00,15.11,30.20
13:31:00,24.60,25.00,11.47, 13.76,24.60,20.02,65.00, 29.60,-3.20,21.60,206.80, 57.52,94.75,24.51,31.70, 3.55,35.56,4.43,11.47, 0.00,25.00,20.00,25.00,15.11,30.20
13:31:01,24.60,25.00,11.39, 13.77,24.60,20.01,65.00, 29.60,-3.20,21.60,206.70, 57.51,94.73,24.33,32.27, 3.57,35.56,4.42,11.39, 0.00,25.00,20.00,25.00,15.11,30.20
13:31:02,24.60,25.00,11.31, 13.78,24.60,20.01,65.00, 29.60,-3.20,21.60,206.58, 57.47,95.69,24.43,31.99, 3.56,35.56,4.41,11.31, 0.00,25.00,20.00,25.00,15.11,30.20
13:31:03,24.60,25.00,11.23, 13.78,24.60,20.00,65.00, 29.60,-3.20,21.60,206.52, 57.44,95.31,24.33,33.03, 3.59,35.56,4.41,11.23, 0.00,25.00,20.00,25.00,15.11,30.20
13:31:04,24.60,25.00,11.15, 13.78,24.60,20.00,65.10, 29.60,-3.20,21.60,206.36, 57.41,95.43,24.36,31.98, 3.57,35.56,4.41,11.11, 0.00,25.00,20.00,25.00,15.11,30.20
13:31:05,24.60,25.00,11.07, 13.79,24.60,20.00,65.10, 29.60,-3.20,21.70,206.28, 57.47,95.35,24.35,32.06, 3.57,35.55,4.41,11.03, 0.00,25.00,20.00,25.00,15.14,30.30
13:31:06,24.60,25.00,10.99, 13.81,24.60,20.02,65.10, 29.60,-3.20,21.70,206.18, 57.38,95.29,24.37,32.21, 3.56,35.55,4.44,10.95, 0.00,25.00,20.00,25.00,15.14,30.30
13:31:07,24.60,25.00,10.91, 13.82,24.60,20.05,65.10, 29.60,-3.20,21.70,205.86, 57.67,95.47,24.31,31.54, 3.55,35.55,4.47,10.87, 0.00,25.00,20.00,25.00,15.11,30.30
13:31:08,24.60,25.00,10.83, 13.83,24.60,20.07,65.10, 29.60,-3.20,21.70,205.44, 58.38,95.76,24.43,31.57, 3.54,35.55,4.48,10.79, 0.00,25.00,20.00,25.00,15.11,30.20
13:31:09,24.60,25.00,10.79, 13.83,24.60,20.06,65.10, 29.60,-3.20,21.70,205.42, 58.70,95.06,24.29,31.49, 3.56,35.55,4.47,10.75, 0.00,25.00,20.00,25.00,15.14,30.20
13:31:10,24.60,25.00,10.67, 13.82,24.60,20.03,65.10, 29.70,-3.10,21.80,205.59, 58.61,95.14,24.43,32.29, 3.57,35.55,4.44,10.18, 0.00,25.00,20.00,25.00,15.14,30.30
