# START:6/7/2024 2:24:42 PM APP:tmon VERSION:0.91 FILE:tmon_sn-11001_rn-6.csv
# Ctrl Rate(secs):1
# PLC OC_VER=40002013 (0x26261dd) OC_VER(?)
Time,Temp,Setpt,Pwr,SucTmp,ChmTmp,ChlTmp,DisTmp,DrvTmp,DeSupTmp,DrvWTmp,DisPrs,SucPrs,InWPrs,OutWPrs,ChlPrs,PumpAmps,Humid,ChlPwr,ChmPwr,DrvPwr,ChmSet,ChlSet,DrvSet,CLevel,InwTmp
14:24:42,25.00,25.00,17.86, 13.91,25.00,20.00,65.00, 29.60,-2.90,19.30,205.97, 57.59,89.29,24.99,32.22, 3.53,37.04,4.34,17.86, 0.00,25.00,20.00,25.00,14.88,30.40
14:24:43,25.00,25.00,17.86, 13.91,25.00,20.00,65.00, 29.60,-2.90,19.30,206.14, 57.51,90.16,24.96,31.76, 3.54,37.04,4.34,17.86, 0.00,25.00,20.00,25.00,14.88,30.40
14:24:44,25.00,25.00,17.86, 13.90,25.00,20.00,64.90, 29.60,-2.90,19.30,206.39, 57.44,90.83,24.91,31.64, 3.54,37.04,4.34,17.86, 0.00,25.00,20.00,25.00,14.88,30.40
14:24:45,25.00,25.00,17.86, 13.90,25.00,20.00,64.90, 29.60,-3.00,19.40,206.00, 58.01,91.40,24.86,32.16, 3.54,37.03,4.34,17.86, 0.00,25.00,20.00,25.00,14.88,30.40
14:24:46,25.00,25.00,17.86, 13.90,25.00,20.00,64.90, 29.60,-3.00,19.40,205.91, 58.53,91.58,24.81,31.87, 3.53,37.03,4.34,17.86, 0.00,25.00,20.00,25.00,14.88,30.40
14:24:47,25.00,25.00,17.86, 13.90,25.00,20.00,64.90, 29.60,-3.00,19.40,206.29, 58.67,91.10,24.81,32.06, 3.53,37.03,4.34,17.86, 0.00,25.00,20.00,25.00,14.91,30.40
14:24:48,25.00,25.00,17.86, 13.90,25.00,20.00,65.00, 29.50,-2.90,19.70,206.65, 58.29,91.38,24.82,32.48, 3.53,37.02,4.34,17.86, 0.00,25.00,20.00,25.00,14.89,30.40
14:24:49,24.90,25.00,17.67, 13.90,24.90,20.00,65.00, 29.50,-2.90,19.70,207.00, 57.98,91.45,24.70,31.98, 3.52,37.02,4.34,16.52, 0.00,25.00,20.00,25.00,14.88,30.40
14:24:50,24.90,25.00,16.09, 13.90,24.90,20.00,64.90, 29.50,-2.90,19.80,207.20, 57.78,91.64,24.72,32.55, 3.53,37.02,4.34,15.93, 0.00,25.00,20.00,25.00,14.88,30.40
14:24:51,24.90,25.00,15.86, 13.90,24.90,20.00,64.90, 29.50,-2.90,19.80,207.28, 57.65,92.12,24.72,31.87, 3.53,37.01,4.34,15.83, 0.00,25.00,20.00,25.00,14.88,30.40
14:24:52,24.90,25.00,15.81, 13.90,24.90,20.00,64.90, 29.40,-2.90,19.80,207.28, 57.61,91.62,24.70,31.70, 3.53,37.01,4.34,15.80, 0.00,25.00,20.00,25.00,14.88,30.40
14:24:53,24.90,25.00,15.79, 13.90,24.90,20.00,64.90, 29.40,-3.00,20.00,207.19, 57.59,91.98,24.69,31.63, 3.54,37.00,4.34,15.78, 0.00,25.00,20.00,25.00,14.91,30.40
14:24:54,24.90,25.00,15.77, 13.90,24.90,20.00,64.90, 29.40,-3.00,20.00,207.12, 57.51,92.26,24.67,32.03, 3.54,37.00,4.34,15.76, 0.00,25.00,20.00,25.00,14.91,30.40
14:25:07,24.90,25.00,15.75, 13.90,24.90,20.00,64.90, 29.40,-3.00,20.20,207.02, 57.53,91.96,24.56,31.60, 3.53,36.96,4.34,15.50, 0.00,25.00,20.00,25.00,14.84,30.30
14:25:07,24.90,25.00,15.50, 13.90,24.90,20.00,64.90, 29.30,-2.90,20.70,206.05, 57.63,92.39,24.62,32.50, 3.53,36.96,4.34,15.50, 0.00,25.00,20.00,25.00,14.83,30.30
14:25:08,24.90,25.00,15.48, 13.90,24.90,20.00,64.90, 29.30,-2.90,20.80,206.53, 57.58,92.65,24.58,31.99, 3.54,36.96,4.34,15.47, 0.00,25.00,20.00,25.00,14.84,30.40
14:25:09,24.90,25.00,15.46, 13.90,24.90,20.00,64.90, 29.30,-3.00,20.80,206.80, 57.55,92.33,24.59,31.59, 3.52,36.96,4.34,15.45, 0.00,25.00,20.00,25.00,14.84,30.40
14:25:22,24.80,25.00,13.02, 13.90,24.80,20.00,65.00, 29.40,-3.10,21.10,206.39, 57.54,93.28,24.78,31.86, 3.54,36.93,4.34,13.01, 0.00,25.00,20.00,25.00,14.81,30.40
14:25:23,24.80,25.00,13.01, 13.90,24.80,20.00,65.00, 29.40,-3.10,21.10,206.34, 57.51,92.59,24.69,32.80, 3.55,36.93,4.34,12.98, 0.00,25.00,20.00,25.00,14.81,30.40
14:25:24,24.80,25.00,12.94, 13.90,24.80,20.00,65.00, 29.40,-3.10,21.10,206.13, 57.44,91.96,24.77,32.49, 3.55,36.93,4.34,12.93, 0.00,25.00,20.00,25.00,14.79,30.40
14:25:25,24.80,25.00,12.90, 13.90,24.80,20.00,65.00, 29.40,-3.10,21.10,206.11, 57.48,92.38,24.70,31.74, 3.53,36.93,4.34,12.90, 0.00,25.00,20.00,25.00,14.79,30.40
14:25:26,24.80,25.00,12.86, 13.90,24.80,20.00,65.00, 29.40,-3.10,21.10,206.02, 57.47,92.15,24.65,32.08, 3.52,36.93,4.34,12.85, 0.00,25.00,20.00,25.00,14.79,30.40
14:25:29,24.70,25.00,10.74, 13.90,24.70,20.00,65.00, 29.40,-3.20,21.30,205.78, 57.43,89.82,24.57,32.20, 3.53,36.93,4.34,10.74, 0.00,25.00,20.00,25.00,14.81,30.40
14:25:30,24.80,25.00,11.35, 13.89,24.80,20.00,65.00, 29.40,-3.20,21.30,205.75, 57.36,92.65,24.65,31.58, 3.53,36.93,4.34,11.35, 0.00,25.00,20.00,25.00,14.81,30.40
14:25:31,24.80,25.00,12.45, 13.87,24.80,20.00,65.00, 29.50,-3.20,21.30,205.69, 57.39,92.11,24.63,32.33, 3.55,36.93,4.34,12.54, 0.00,25.00,20.00,25.00,14.81,30.40
14:25:32,24.80,25.00,12.56, 13.86,24.80,20.00,65.00, 29.50,-3.20,21.30,205.28, 57.72,92.20,24.57,31.83, 3.54,36.93,4.34,12.39, 0.00,25.00,20.00,25.00,14.81,30.40
14:25:35,24.70,25.00,10.39, 13.83,24.70,20.00,65.00, 29.50,-2.90,21.30,205.32, 58.54,92.25,24.63,32.15, 3.53,36.93,4.34,10.39, 0.00,25.00,20.00,25.00,14.81,30.40
14:25:36,24.70,25.00,10.36, 13.83,24.70,20.00,65.00, 29.50,-2.90,21.40,205.46, 58.30,92.33,24.63,32.40, 3.54,36.93,4.34,10.36, 0.00,25.00,20.00,25.00,14.81,30.40
14:25:37,24.70,25.00,10.30, 13.82,24.70,20.00,65.00, 29.50,-2.90,21.40,206.13, 57.87,92.03,24.65,32.03, 3.54,36.93,4.34,10.27, 0.00,25.00,20.00,25.00,14.81,30.40
14:25:38,24.70,25.00,10.24, 13.82,24.70,20.00,65.00, 29.50,-2.90,21.40,206.58, 57.73,92.50,24.72,31.87, 3.53,36.93,4.34,10.20, 0.00,25.00,20.00,25.00,14.81,30.40
14:25:39,24.70,25.00,10.18, 13.81,24.70,20.00,65.00, 29.60,-3.00,21.40,206.87, 57.59,92.04,24.72,31.72, 3.53,36.93,4.34,10.15, 0.00,25.00,20.00,25.00,14.81,30.40
14:25:40,24.70,25.00,10.12, 13.81,24.70,20.00,65.00, 29.60,-3.00,21.50,207.04, 57.57,92.20,24.68,32.06, 3.51,36.93,4.34,10.08, 0.00,25.00,20.00,25.00,14.81,30.40
14:25:41,24.80,25.00,11.21, 13.81,24.80,20.00,64.90, 29.50,-3.00,21.50,207.12, 57.59,91.72,24.79,31.23, 3.52,36.93,4.34,11.73, 0.00,25.00,20.00,25.00,14.81,30.40
14:25:42,24.80,25.00,11.90, 13.81,24.80,20.00,64.90, 29.50,-3.10,21.50,207.14, 57.59,92.10,24.71,31.88, 3.53,36.93,4.34,11.96, 0.00,25.00,20.00,25.00,14.81,30.40
14:25:43,24.80,25.00,11.96, 13.81,24.80,20.00,65.00, 29.50,-3.10,21.50,207.08, 57.61,92.34,24.74,31.13, 3.54,36.93,4.34,11.95, 0.00,25.00,20.00,25.00,14.81,30.40
14:25:44,24.80,25.00,11.94, 13.81,24.80,20.00,65.00, 29.60,-3.10,21.50,207.03, 57.62,92.35,24.76,32.01, 3.54,36.93,4.34,11.92, 0.00,25.00,20.00,25.00,14.81,30.40
14:25:45,24.80,25.00,11.90, 13.80,24.80,20.00,65.00, 29.60,-3.10,21.50,206.95, 57.61,90.61,24.69,31.17, 3.54,36.93,4.34,11.88, 0.00,25.00,20.00,25.00,14.81,30.40
14:25:46,24.80,25.00,11.86, 13.80,24.80,20.00,65.00, 29.60,-3.10,21.50,206.85, 57.57,92.23,24.80,31.88, 3.53,36.93,4.34,11.84, 0.00,25.00,20.00,25.00,14.79,30.40
14:25:47,24.80,25.00,11.82, 13.81,24.80,20.00,65.00, 29.60,-3.10,21.60,206.75, 57.58,92.09,24.74,30.72, 3.53,36.93,4.34,11.80, 0.00,25.00,20.00,25.00,14.79,30.40
14:25:48,24.80,25.00,11.78, 13.82,24.80,20.00,65.00, 29.60,-3.10,21.60,206.64, 57.54,92.39,24.75,31.89, 3.53,36.93,4.34,11.76, 0.00,25.00,20.00,25.00,14.79,30.40
14:25:49,24.80,25.00,11.74, 13.84,24.80,20.00,65.00, 29.60,-3.10,21.60,206.49, 57.56,92.80,24.68,31.09, 3.53,36.93,4.34,11.72, 0.00,25.00,20.00,25.00,14.81,30.40
14:25:50,24.90,25.00,12.76, 13.85,24.90,20.00,65.10, 29.60,-3.10,21.60,206.39, 57.57,91.90,24.71,31.88, 3.54,36.93,4.34,13.35, 0.00,25.00,20.00,25.00,14.81,30.40
14:25:51,24.90,25.00,13.55, 13.86,24.90,20.00,65.10, 29.60,-3.10,21.60,206.28, 57.52,92.52,24.71,31.31, 3.54,36.94,4.34,13.63, 0.00,25.00,20.00,25.00,14.81,30.40
14:25:52,24.90,25.00,13.64, 13.87,24.90,20.00,65.10, 29.60,-3.10,21.70,206.17, 57.48,92.62,24.76,32.08, 3.53,36.93,4.34,13.64, 0.00,25.00,20.00,25.00,14.81,30.40
14:25:53,24.90,25.00,13.64, 13.87,24.90,20.00,65.10, 29.60,-3.10,21.70,206.11, 57.50,90.17,24.68,31.42, 3.54,36.93,4.34,13.63, 0.00,25.00,20.00,25.00,14.81,30.40
14:25:54,24.90,25.00,13.62, 13.88,24.90,20.00,65.00, 29.70,-3.10,21.70,205.96, 57.51,92.26,24.73,31.62, 3.52,36.94,4.34,13.61, 0.00,25.00,20.00,25.00,14.81,30.40
14:25:55,24.90,25.00,13.60, 13.88,24.90,20.00,65.00, 29.70,-3.10,21.80,205.88, 57.46,92.45,24.74,31.75, 3.52,36.94,4.34,13.59, 0.00,25.00,20.00,25.00,14.84,30.40
14:25:56,24.90,25.00,13.58, 13.88,24.90,20.00,65.00, 29.70,-3.10,21.80,205.79, 57.51,92.55,24.74,32.11, 3.54,36.94,4.34,13.57, 0.00,25.00,20.00,25.00,14.84,30.40
14:25:57,24.90,25.00,13.56, 13.89,24.90,20.00,65.00, 29.70,-3.10,21.80,205.73, 57.58,92.46,24.79,32.42, 3.56,36.94,4.34,13.55, 0.00,25.00,20.00,25.00,14.84,30.40
14:25:58,24.90,25.00,13.54, 13.89,24.90,20.00,65.00, 29.70,-3.10,21.80,205.24, 58.02,92.52,24.65,31.81, 3.54,36.94,4.34,13.53, 0.00,25.00,20.00,25.00,14.84,30.40
14:25:59,24.90,25.00,13.52, 13.89,24.90,20.00,65.00, 29.70,-3.10,21.80,205.13, 58.42,92.46,24.71,32.12, 3.53,36.94,4.34,13.51, 0.00,25.00,20.00,25.00,14.84,30.40
