# START:6/10/2024 10:44:47 AM APP:tmon VERSION:0.91 FILE:tmon_sn-11001_rn-7.csv
# Ctrl Rate(secs):1
# PLC OC_VER=40002013 (0x26261dd) OC_VER(?)
Time,Temp,Setpt,Pwr,SucTmp,ChmTmp,ChlTmp,DisTmp,DrvTmp,DeSupTmp,DrvWTmp,DisPrs,SucPrs,InWPrs,OutWPrs,ChlPrs,PumpAmps,Humid,ChlPwr,ChmPwr,DrvPwr,ChmSet,ChlSet,DrvSet,CLevel,InwTmp
10:44:48,24.80,25.00,13.08, 13.90,24.80,20.00,65.10, 30.20,-3.20,23.00,206.64, 57.69,91.27,24.90,32.80, 3.53,37.45,4.34,13.08, 0.00,25.00,20.00,25.00,15.11,30.30
10:44:49,24.80,25.00,13.04, 13.90,24.80,20.00,65.10, 30.30,-3.10,23.00,206.62, 57.69,91.43,24.77,32.09, 3.53,37.45,4.34,13.04, 0.00,25.00,20.00,25.00,15.11,30.30
10:44:50,24.80,25.00,13.00, 13.90,24.80,20.00,65.10, 30.30,-3.10,23.10,206.63, 57.68,91.78,24.80,31.29, 3.53,37.45,4.34,13.00, 0.00,25.00,20.00,25.00,15.14,30.30
10:44:51,24.70,25.00,11.36, 13.90,24.70,20.00,65.10, 30.30,-3.10,23.10,206.61, 57.68,91.99,24.82,31.84, 3.53,37.46,4.34,11.36, 0.00,25.00,20.00,25.00,15.11,30.30
10:44:52,24.70,25.00,10.94, 13.90,24.70,20.00,65.10, 30.30,-3.10,23.10,206.62, 57.69,92.54,24.78,30.98, 3.54,37.46,4.34,10.94, 0.00,25.00,20.00,25.00,15.11,30.30
10:44:53,24.70,25.00,10.83, 13.90,24.70,20.00,65.10, 30.30,-3.10,23.10,206.59, 57.63,92.56,24.83,31.69, 3.54,37.46,4.34,10.83, 0.00,25.00,20.00,25.00,15.11,30.20
10:44:54,24.70,25.00,10.77, 13.90,24.70,20.00,65.00, 30.30,-3.20,23.10,206.57, 57.65,92.61,24.79,31.01, 3.53,37.46,4.34,10.77, 0.00,25.00,20.00,25.00,15.11,30.20
10:44:55,24.70,25.00,10.70, 13.90,24.70,20.00,65.00, 30.30,-3.20,23.20,206.60, 57.60,92.94,24.79,31.89, 3.53,37.46,4.34,10.70, 0.00,25.00,20.00,25.00,15.11,30.30
10:44:56,24.70,25.00,10.64, 13.90,24.70,20.00,65.10, 30.30,-3.20,23.20,206.55, 57.60,92.96,24.81,31.39, 3.53,37.47,4.34,10.64, 0.00,25.00,20.00,25.00,15.11,30.30
10:44:56,24.70,25.00,10.62, 13.90,24.70,20.00,65.10, 30.30,-3.20,23.20,206.56, 57.60,92.93,24.85,32.88, 3.52,37.47,4.34,10.62, 0.00,25.00,20.00,25.00,15.11,30.30
10:44:57,24.70,25.00,10.55, 13.90,24.70,20.00,65.10, 30.30,-3.20,23.20,206.52, 57.65,92.84,24.86,31.81, 3.52,37.47,4.34,10.55, 0.00,25.00,20.00,25.00,15.11,30.30
10:44:58,24.70,25.00,10.49, 13.90,24.70,20.00,65.10, 30.30,-3.20,23.20,206.52, 57.67,92.77,24.86,31.93, 3.52,37.47,4.34,10.49, 0.00,25.00,20.00,25.00,15.11,30.30
