# START:10/1/2024 10:13:47 AM APP:tmon VERSION:0.91 FILE:tmon_sn-11001_rn-11.csv
# Ctrl Rate(secs):1
# PLC OC_VER=40002013 (0x26261dd) OC_VER(?)
Time,Temp,Setpt,Pwr,SucTmp,ChmTmp,ChlTmp,DisTmp,DrvTmp,DeSupTmp,DrvWTmp,DisPrs,SucPrs,InWPrs,OutWPrs,ChlPrs,PumpAmps,Humid,ChlPwr,ChmPwr,DrvPwr,ChmSet,ChlSet,DrvSet,CLevel,InwTmp
10:13:47,24.80,25.00,0.00, 13.44,24.80,20.50,64.10, 29.00,-3.40,24.30,203.68, 57.35,93.14,24.68,32.75, 3.55,32.92,4.25,0.00, 2.38,25.00,20.00,25.00,16.00,29.50
10:13:48,24.80,25.00,0.00, 13.43,24.80,20.51,64.10, 29.00,-3.40,24.30,203.64, 57.27,93.13,24.60,32.29, 3.54,32.92,4.27,0.00, 2.25,25.00,20.00,25.00,16.00,29.50
10:13:49,24.80,25.00,0.00, 13.43,24.80,20.55,64.10, 29.00,-3.40,24.40,203.62, 57.24,93.37,24.71,32.05, 3.54,32.92,4.30,0.00, 2.50,25.00,20.00,25.00,15.98,29.50
10:13:50,24.80,25.00,0.00, 13.41,24.80,20.57,64.10, 29.00,-3.40,24.40,203.62, 57.29,92.24,24.67,32.25, 3.54,32.92,4.33,0.00, 3.77,25.00,20.00,25.00,15.98,29.50
10:13:51,24.80,25.00,0.00, 13.39,24.80,20.58,64.10, 29.00,-3.50,24.40,203.61, 57.32,93.62,24.85,32.28, 3.54,32.92,4.34,0.00, 3.83,25.00,20.00,25.00,16.00,29.50
10:13:53,24.80,25.00,0.00, 13.37,24.80,20.59,64.10, 29.00,-3.50,24.40,203.59, 57.27,93.07,24.73,32.25, 3.54,32.92,4.35,0.00, 3.68,25.00,20.00,25.00,15.98,29.50
10:13:54,24.80,25.00,0.00, 13.36,24.80,20.59,64.10, 29.00,-3.50,24.40,203.58, 57.28,93.74,24.88,32.47, 3.54,32.92,4.36,0.00, 3.56,25.00,20.00,25.00,15.98,29.50
10:13:55,24.80,25.00,0.00, 13.35,24.80,20.60,64.10, 29.00,-3.50,24.40,203.55, 57.29,93.42,24.81,32.46, 3.53,32.92,4.36,0.00, 3.44,25.00,20.00,25.00,15.98,29.50
10:13:56,24.80,25.00,0.00, 13.34,24.80,20.60,64.10, 29.00,-3.50,24.40,203.57, 57.27,93.34,24.90,31.97, 3.55,32.92,4.36,0.00, 3.32,25.00,20.00,25.00,15.98,29.50
10:13:57,24.80,25.00,0.00, 13.33,24.80,20.60,64.10, 29.00,-3.50,24.40,203.52, 57.23,93.54,24.89,32.39, 3.54,32.92,4.36,0.00, 3.20,25.00,20.00,25.00,15.98,29.50
10:13:58,24.80,25.00,0.00, 13.33,24.80,20.60,64.10, 29.00,-3.50,24.40,203.53, 57.29,93.30,24.86,31.95, 3.55,32.92,4.36,0.00, 3.08,25.00,20.00,25.00,15.98,29.50
10:13:59,24.80,25.00,0.00, 13.32,24.80,20.60,64.10, 29.00,-3.50,24.40,203.53, 57.29,94.48,24.88,31.92, 3.54,32.92,4.36,0.00, 2.96,25.00,20.00,25.00,15.98,29.50
10:14:00,24.80,25.00,0.00, 13.32,24.80,20.60,64.10, 29.00,-3.50,24.40,203.50, 57.22,94.75,24.85,32.18, 3.55,32.92,4.37,0.00, 2.84,25.00,20.00,25.00,15.98,29.50
10:14:01,24.80,25.00,0.00, 13.31,24.80,20.60,64.10, 29.00,-3.50,24.40,203.49, 57.25,93.64,24.90,32.24, 3.55,32.92,4.37,0.00, 2.72,25.00,20.00,25.00,15.98,29.50
10:14:02,24.80,25.00,0.00, 13.31,24.80,20.60,64.10, 29.00,-3.50,24.40,203.46, 57.21,91.90,24.77,32.21, 3.53,32.92,4.37,0.00, 2.60,25.00,20.00,25.00,15.98,29.50
10:14:03,24.80,25.00,0.00, 13.31,24.80,20.60,64.10, 29.00,-3.50,24.50,203.46, 57.23,93.68,24.83,32.46, 3.55,32.92,4.37,0.00, 4.00,25.00,20.00,25.00,15.98,29.60
10:14:04,24.80,25.00,0.00, 13.31,24.80,20.60,64.10, 29.00,-3.50,24.50,203.45, 57.23,93.95,24.93,32.34, 3.53,32.92,4.37,0.00, 4.32,25.00,20.00,25.00,15.98,29.60
10:14:05,24.80,25.00,0.00, 13.31,24.80,20.60,64.10, 29.10,-3.40,24.50,203.43, 57.17,94.12,24.84,32.44, 3.54,32.91,4.37,0.00, 4.28,25.00,20.00,25.00,15.98,29.60
10:14:06,24.80,25.00,0.00, 13.31,24.80,20.60,64.10, 29.10,-3.40,24.50,203.43, 57.15,94.18,24.72,32.58, 3.55,32.91,4.37,0.00, 4.19,25.00,20.00,25.00,15.98,29.60
10:14:07,24.80,25.00,0.00, 13.30,24.80,20.60,64.20, 29.10,-3.40,24.50,203.39, 57.21,94.67,24.70,32.45, 3.54,32.91,4.37,0.00, 4.09,25.00,20.00,25.00,16.00,29.60
10:14:07,24.80,25.00,0.00, 13.30,24.80,20.60,64.20, 29.10,-3.40,24.50,203.39, 57.23,94.06,24.71,32.17, 3.54,32.91,4.37,0.00, 4.04,25.00,20.00,25.00,16.00,29.60
10:14:08,24.90,25.00,0.00, 13.30,24.90,20.60,64.20, 29.10,-3.40,24.50,203.41, 57.22,93.50,24.59,32.56, 3.54,32.91,4.37,0.00, 3.94,25.00,20.00,25.00,16.00,29.60
10:14:09,24.90,25.00,0.00, 13.30,24.90,20.60,64.20, 29.10,-3.40,24.50,203.40, 57.23,93.66,24.64,32.21, 3.53,32.91,4.37,0.00, 3.84,25.00,20.00,25.00,16.00,29.60
10:14:11,24.90,25.00,0.00, 13.30,24.90,20.60,64.20, 29.10,-3.50,24.60,203.37, 57.17,93.45,24.62,32.36, 3.53,32.91,4.37,0.00, 4.04,25.00,20.00,25.00,15.98,29.60
10:14:12,24.80,25.00,0.00, 13.30,24.80,20.60,64.20, 29.10,-3.50,24.60,203.37, 57.21,93.24,24.64,32.21, 3.53,32.91,4.37,0.00, 5.53,25.00,20.00,25.00,16.00,29.60
10:14:13,24.80,25.00,0.00, 13.30,24.80,20.60,64.20, 29.10,-3.40,24.60,203.34, 57.13,93.25,24.64,32.26, 3.53,32.92,4.37,0.00, 5.49,25.00,20.00,25.00,16.00,29.60
10:14:14,24.80,25.00,0.00, 13.30,24.80,20.60,64.20, 29.10,-3.40,24.60,203.33, 57.16,92.67,24.59,32.18, 3.56,32.92,4.37,0.00, 5.41,25.00,20.00,25.00,16.00,29.60
10:14:15,24.80,25.00,0.00, 13.30,24.80,20.60,64.20, 29.10,-3.50,24.60,203.32, 57.17,93.60,24.66,32.21, 3.53,32.91,4.37,0.00, 5.38,25.00,20.00,25.00,16.00,29.60
