# START:8/12/2024 5:10:38 PM APP:tmon VERSION:0.91 FILE:tmon_rn-16.csv
# Ctrl Rate(secs):1
# PLC OC_VER=40002014 (0x26261de) OC_VER(?)
Time,Temp,Setpt,Pwr,SucTmp,ChmTmp,ChlTmp,DisTmp,DrvTmp,DeSupTmp,DrvWTmp,DisPrs,SucPrs,InWPrs,OutWPrs,ChlPrs,PumpAmps,Humid,ChlPwr,ChmPwr,DrvPwr,ChmSet,ChlSet,DrvSet,CLevel,InwTmp
17:10:39,27.20,25.00,0.00, 13.93,27.20,20.60,64.70, 27.70,-5.40,20.80,200.35, 54.16,98.26,22.12,31.66, 3.83,33.14,3.57,0.00, 0.00,25.00,20.00,25.00,16.42,11.40
17:10:40,27.20,25.00,0.00, 13.89,27.30,20.60,64.70, 27.70,-5.40,20.80,200.23, 54.14,98.28,22.14,31.78, 3.83,33.17,3.57,0.00, 0.00,25.00,20.00,25.00,16.42,11.40
17:10:41,27.30,25.00,0.00, 13.84,27.30,20.60,64.50, 27.70,-5.40,20.80,200.12, 54.23,98.32,22.13,31.74, 3.83,33.09,3.57,0.00, 0.00,25.00,20.00,25.00,16.42,11.40
17:10:42,27.30,25.00,0.00, 13.80,27.30,20.60,64.50, 27.70,-5.50,20.90,199.96, 54.38,98.30,22.16,31.85, 3.83,33.16,3.57,0.00, 0.00,25.00,20.00,25.00,16.42,11.30
17:10:43,27.30,25.00,0.00, 13.73,27.30,20.60,64.50, 27.70,-5.50,20.90,199.79, 54.45,98.35,22.15,31.78, 3.83,33.18,3.57,0.00, 0.00,25.00,20.00,25.00,16.42,11.30
17:10:44,27.30,25.00,0.00, 13.67,27.30,20.60,64.40, 27.70,-5.50,20.90,199.66, 54.49,98.25,22.17,31.68, 3.84,33.18,3.57,0.00, 0.00,25.00,20.00,25.00,16.40,11.30
17:10:45,27.30,25.00,0.00, 13.61,27.30,20.60,64.40, 27.70,-5.50,21.00,199.43, 54.54,98.28,22.22,31.71, 3.84,33.18,3.57,0.00, 0.00,25.00,20.00,25.00,16.40,11.30
17:10:46,27.30,25.00,0.00, 13.56,27.30,20.65,64.40, 27.80,-5.50,21.00,199.29, 54.74,98.12,22.19,31.55, 3.84,33.18,3.63,0.00, 0.00,25.00,20.00,25.00,16.40,11.30
17:10:47,27.30,25.00,0.00, 13.51,27.30,20.71,64.40, 27.80,-5.40,21.00,199.14, 54.84,98.08,22.22,31.77, 3.84,33.13,3.70,0.00, 0.00,25.00,20.00,25.00,16.40,11.30
17:10:48,27.30,25.00,0.00, 13.47,27.30,20.75,64.40, 27.80,-5.40,21.00,199.04, 54.81,98.01,22.21,31.75, 3.84,33.17,3.73,0.00, 0.00,25.00,20.00,25.00,16.40,11.30
17:10:49,27.20,25.00,0.00, 13.44,27.20,20.75,64.30, 27.80,-5.40,21.00,198.89, 54.86,97.79,22.21,31.85, 3.84,33.18,3.73,0.00, 0.00,25.00,20.00,25.00,16.37,11.30
17:10:50,27.20,25.00,0.00, 13.41,27.20,20.73,64.30, 27.70,-5.20,21.00,198.79, 54.89,97.60,22.19,31.59, 3.84,33.18,3.71,0.00, 0.00,25.00,20.00,25.00,16.37,11.40
17:10:51,27.20,25.00,0.00, 13.40,27.20,20.72,64.30, 27.70,-5.20,21.00,198.69, 54.92,97.37,22.23,31.74, 3.83,33.18,3.70,0.00, 0.00,25.00,20.00,25.00,16.37,11.40
17:10:52,27.20,25.00,0.00, 13.40,27.20,20.71,64.30, 27.70,-5.20,21.00,198.53, 54.91,97.63,22.27,31.83, 3.84,33.18,3.69,0.00, 0.00,25.00,20.00,25.00,16.37,11.40
17:10:53,27.20,25.00,0.00, 13.40,27.20,20.71,64.30, 27.80,-5.20,21.00,198.38, 54.86,97.74,22.27,32.01, 3.84,33.18,3.69,0.00, 0.00,25.00,20.00,25.00,16.37,11.40
17:10:54,27.20,25.00,0.00, 13.40,27.20,20.70,64.30, 27.80,-5.00,21.00,198.26, 54.74,97.62,22.23,31.62, 3.83,33.18,3.69,0.00, 0.00,25.00,20.00,25.00,16.35,11.40
17:10:55,27.20,25.00,0.00, 13.44,27.20,20.70,64.30, 27.80,-5.00,21.00,198.09, 54.79,97.43,22.24,31.46, 3.83,33.18,3.69,0.00, 0.00,25.00,20.00,25.00,16.35,11.40
17:10:56,27.20,25.00,0.00, 13.49,27.20,20.74,64.30, 27.80,-5.00,21.00,197.95, 54.76,97.27,22.23,31.68, 3.83,33.18,3.73,0.00, 0.00,25.00,20.00,25.00,16.35,11.40
