# START:9/30/2024 10:29:40 AM APP:tmon VERSION:0.91 FILE:tmon_rn-24.csv
# Ctrl Rate(secs):6
# PLC OC_VER=40002014 (0x26261de) OC_VER(?)
Time,Temp,Setpt,Pwr
10:29:40,27.60,25.00,0.00
10:29:46,27.70,25.00,0.00
10:29:52,27.60,25.00,0.00
10:29:58,27.70,25.00,0.00
10:30:04,27.60,25.00,0.00
10:30:10,27.70,25.00,0.00
10:30:16,27.60,25.00,0.00
10:30:22,27.60,25.00,0.00
10:30:28,27.60,25.00,0.00
10:30:34,27.50,25.00,0.00
10:30:40,27.60,25.00,0.00
10:30:46,27.80,25.00,0.00
10:30:52,27.70,25.00,0.00
10:30:58,27.60,25.00,0.00
10:31:04,27.60,25.00,0.00
10:31:10,27.50,25.00,0.00
10:31:16,27.60,25.00,0.00
10:31:22,27.50,25.00,0.00
10:31:28,27.60,25.00,0.00
10:31:34,27.50,25.00,0.00
10:31:40,27.60,25.00,0.00
10:31:46,27.60,25.00,0.00
10:31:52,27.50,25.00,0.00
10:31:58,27.70,25.00,0.00
10:32:04,27.60,25.00,0.00
10:32:10,27.60,25.00,0.00
10:32:16,27.60,25.00,0.00
10:32:22,27.60,25.00,0.00
10:32:28,27.60,25.00,0.00
10:32:34,27.60,25.00,0.00
10:32:40,27.60,25.00,0.00
10:32:46,27.60,25.00,0.00
10:32:52,27.60,25.00,0.00
10:32:58,27.60,25.00,0.00
10:33:04,27.50,25.00,0.00
10:33:10,27.60,25.00,0.00
10:33:16,27.60,25.00,0.00
10:33:22,27.60,25.00,0.00
10:33:28,27.50,25.00,0.00
10:33:34,27.60,25.00,0.00
10:33:40,27.60,25.00,0.00
10:33:46,27.60,25.00,0.00
10:33:52,27.60,25.00,0.00
10:33:58,27.60,25.00,0.00
10:34:04,27.60,25.00,0.00
10:34:10,27.60,25.00,0.00
10:34:16,27.60,25.00,0.00
10:34:22,27.60,25.00,0.00
10:34:28,27.70,25.00,0.00
10:34:34,27.60,25.00,0.00
10:34:40,27.60,25.00,0.00
10:34:46,27.60,25.00,0.00
10:34:52,27.60,25.00,0.00
10:34:58,27.60,25.00,0.00
10:35:04,27.60,25.00,0.00
10:35:10,27.60,25.00,0.00
10:35:16,27.50,25.00,0.00
10:35:22,27.60,25.00,0.00
10:35:28,27.60,25.00,0.00
10:35:34,27.60,25.00,0.00
10:35:40,27.60,25.00,0.00
10:35:46,27.60,25.00,0.00
10:35:52,27.70,25.00,0.00
10:35:58,27.60,25.00,0.00
10:36:04,27.60,25.00,0.00
10:36:10,27.60,25.00,0.00
10:36:16,27.70,25.00,0.00
10:36:22,27.60,25.00,0.00
10:36:28,27.60,25.00,0.00
10:36:34,27.70,25.00,0.00
10:36:40,27.60,25.00,0.00
10:36:46,27.60,25.00,0.00
10:36:52,27.60,25.00,0.00
10:36:58,27.60,25.00,0.00
10:37:04,27.60,25.00,0.00
10:37:10,27.60,25.00,0.00
10:37:16,27.60,25.00,0.00
10:37:22,27.60,25.00,0.00
10:37:28,27.60,25.00,0.00
10:37:34,27.60,25.00,0.00
10:37:40,27.60,25.00,0.00
10:37:46,27.50,25.00,0.00
10:37:52,27.60,25.00,0.00
10:37:58,27.70,25.00,0.00
10:38:04,27.60,25.00,0.00
10:38:10,27.50,25.00,0.00
10:38:16,27.60,25.00,0.00
10:38:22,27.60,25.00,0.00
10:38:28,27.60,25.00,0.00
10:38:34,27.60,25.00,0.00
10:38:40,27.60,25.00,0.00
10:38:46,27.60,25.00,0.00
10:38:52,27.60,25.00,0.00
