# START:4/24/2024 10:00:30 AM APP:tmon VERSION:0.91 FILE:tmon_rn-9.csv
# Ctrl Rate(secs):1
# PLC OC_VER=40002014 (0x26261de) OC_VER(?)
Time,Temp,Setpt,Pwr,SucTmp,ChmTmp,ChlTmp,DisTmp,DrvTmp,DeSupTmp,DrvWTmp,DisPrs,SucPrs,InWPrs,OutWPrs,ChlPrs,PumpAmps,Humid,ChlPwr,ChmPwr,DrvPwr,ChmSet,ChlSet,DrvSet,CLevel,InwTmp
10:00:31,24.70,25.00,7.82, 13.90,24.70,19.88,66.80, 27.40,-4.60,21.60,205.52, 54.14,98.30,23.00,33.08, 3.70,38.32,3.46,7.82, 0.00,25.00,20.00,25.00,16.17,12.70
10:00:31,24.70,25.00,7.79, 13.90,24.70,19.86,66.80, 27.40,-4.60,21.60,205.52, 54.14,98.54,22.92,32.58, 3.70,38.40,3.42,7.76, 0.00,25.00,20.00,25.00,16.17,12.70
10:00:33,24.70,25.00,7.74, 13.90,24.70,19.83,66.80, 27.40,-4.60,21.70,205.52, 54.11,98.64,22.92,33.40, 3.72,38.41,3.40,7.70, 0.00,25.00,20.00,25.00,16.17,12.70
10:00:33,24.70,25.00,7.67, 13.90,24.70,19.84,66.80, 27.40,-4.60,21.70,205.53, 54.17,98.43,22.89,33.08, 3.71,38.46,3.40,7.67, 0.00,25.00,20.00,25.00,16.17,12.70
10:00:34,24.70,25.00,7.61, 13.90,24.70,19.87,66.80, 27.40,-4.60,21.70,205.55, 54.10,98.33,22.87,33.32, 3.70,38.36,3.44,7.58, 0.00,25.00,20.00,25.00,16.17,12.70
10:00:35,24.70,25.00,7.58, 13.90,24.70,19.87,66.80, 27.40,-4.60,21.70,205.54, 54.07,98.30,22.92,33.14, 3.70,38.33,3.45,7.55, 0.00,25.00,20.00,25.00,16.15,12.70
10:00:36,24.70,25.00,7.52, 13.90,24.70,19.88,66.80, 27.40,-4.60,21.80,205.53, 54.09,98.45,22.89,33.32, 3.70,38.46,3.45,7.49, 0.00,25.00,20.00,25.00,16.15,12.70
10:00:37,24.70,25.00,7.46, 13.90,24.70,19.89,66.80, 27.40,-4.60,21.80,205.52, 54.15,97.96,22.89,33.00, 3.71,38.48,3.46,7.43, 0.00,25.00,20.00,25.00,16.12,12.70
10:00:38,24.70,25.00,7.40, 13.90,24.70,19.89,66.80, 27.50,-4.60,21.80,205.55, 54.12,98.18,22.94,33.14, 3.71,38.48,3.47,7.37, 0.00,25.00,20.00,25.00,16.12,12.70
10:00:39,24.70,25.00,7.34, 13.90,24.70,19.90,66.80, 27.50,-4.70,21.90,205.52, 54.11,98.22,22.93,33.20, 3.71,38.48,3.47,7.31, 0.00,25.00,20.00,25.00,16.12,12.70
10:00:40,24.70,25.00,7.28, 13.88,24.70,19.89,66.80, 27.50,-4.70,21.90,205.55, 54.15,98.29,22.90,33.11, 3.71,38.48,3.47,7.25, 0.00,25.00,20.00,25.00,16.12,12.70
10:00:41,24.70,25.00,7.22, 13.87,24.70,19.86,66.80, 27.50,-4.70,22.00,205.55, 54.11,97.76,22.93,33.02, 3.71,38.43,3.43,7.19, 0.00,25.00,20.00,25.00,16.12,12.70
10:00:42,24.70,25.00,7.16, 13.86,24.70,19.83,66.80, 27.50,-4.70,22.00,205.55, 54.13,97.84,22.79,33.37, 3.70,38.48,3.40,7.13, 0.00,25.00,20.00,25.00,16.12,12.70
10:00:43,24.60,25.00,6.51, 13.87,24.60,19.84,66.80, 27.50,-4.70,22.00,205.53, 54.14,97.90,22.89,33.10, 3.70,38.38,3.41,5.58, 0.00,25.00,20.00,25.00,16.12,12.70
10:00:44,24.60,25.00,5.21, 13.87,24.60,19.86,66.80, 27.50,-4.70,22.00,205.54, 54.15,98.59,22.87,32.87, 3.71,38.47,3.43,5.05, 0.00,25.00,20.00,25.00,16.12,12.70
10:00:45,24.60,25.00,4.97, 13.88,24.60,19.88,66.80, 27.50,-4.70,22.00,205.58, 54.14,98.39,22.81,33.26, 3.71,38.48,3.45,4.91, 0.00,25.00,20.00,25.00,16.12,12.70
10:00:46,24.70,25.00,4.87, 13.86,24.70,19.89,66.80, 27.50,-4.70,22.00,205.55, 54.15,97.90,22.92,33.24, 3.71,38.48,3.46,6.07, 0.00,25.00,20.00,25.00,16.12,12.70
10:00:47,24.70,25.00,6.52, 13.85,24.70,19.89,66.80, 27.50,-4.70,22.10,205.61, 54.11,98.10,22.90,33.04, 3.71,38.48,3.46,6.66, 0.00,25.00,20.00,25.00,16.12,12.70
10:00:48,24.70,25.00,6.70, 13.84,24.70,19.90,66.80, 27.50,-4.70,22.10,205.60, 54.11,98.03,22.85,33.10, 3.71,38.48,3.47,6.69, 0.00,25.00,20.00,25.00,16.12,12.70
10:00:49,24.70,25.00,6.67, 13.84,24.70,19.87,66.80, 27.60,-4.70,22.10,205.57, 54.12,97.30,23.01,33.13, 3.71,38.48,3.44,6.65, 0.00,25.00,20.00,25.00,16.14,12.70
10:00:50,24.70,25.00,6.62, 13.83,24.70,19.84,66.80, 27.60,-4.70,22.20,205.59, 54.11,97.60,22.89,33.05, 3.70,38.48,3.41,6.59, 0.00,25.00,20.00,25.00,16.15,12.70
10:00:51,24.70,25.00,6.56, 13.82,24.70,19.83,66.80, 27.60,-4.70,22.20,205.62, 54.10,98.19,22.83,33.18, 3.70,38.48,3.39,6.53, 0.00,25.00,20.00,25.00,16.15,12.70
10:00:52,24.70,25.00,6.50, 13.82,24.70,19.82,66.80, 27.60,-4.70,22.20,205.61, 54.08,98.18,22.83,33.22, 3.70,38.48,3.38,6.47, 0.00,25.00,20.00,25.00,16.15,12.70
10:00:53,24.70,25.00,6.44, 13.82,24.70,19.81,66.80, 27.60,-4.70,22.20,205.63, 54.13,98.38,22.80,33.02, 3.71,38.48,3.37,6.41, 0.00,25.00,20.00,25.00,16.15,12.70
10:00:54,24.70,25.00,6.38, 13.81,24.70,19.81,66.80, 27.60,-4.70,22.30,205.63, 54.12,96.95,22.87,33.06, 3.71,38.48,3.37,6.35, 0.00,25.00,20.00,25.00,16.17,12.70
10:00:55,24.70,25.00,6.29, 13.81,24.70,19.81,66.80, 27.60,-4.70,22.30,205.63, 54.10,95.95,22.81,32.79, 3.70,38.33,3.37,6.29, 0.00,25.00,20.00,25.00,16.17,12.70
10:00:56,24.70,25.00,6.23, 13.81,24.70,19.85,66.80, 27.60,-4.70,22.30,205.66, 54.11,98.50,22.89,33.08, 3.70,38.46,3.41,6.23, 0.00,25.00,20.00,25.00,16.17,12.70
10:00:57,24.70,25.00,6.17, 13.81,24.70,19.87,66.80, 27.60,-4.70,22.30,205.62, 54.12,98.15,22.85,33.25, 3.70,38.48,3.43,6.17, 0.00,25.00,20.00,25.00,16.17,12.70
10:00:58,24.70,25.00,6.11, 13.81,24.70,19.88,66.80, 27.60,-4.70,22.30,205.63, 54.10,98.40,22.85,33.00, 3.70,38.48,3.45,6.11, 0.00,25.00,20.00,25.00,16.17,12.70
10:00:59,24.70,25.00,6.05, 13.80,24.70,19.89,66.80, 27.60,-4.70,22.30,205.61, 54.13,98.33,22.88,32.99, 3.70,38.48,3.45,6.05, 0.00,25.00,20.00,25.00,16.17,12.70
10:01:00,24.70,25.00,5.99, 13.80,24.70,19.89,66.80, 27.60,-4.70,22.40,205.62, 54.10,98.32,22.88,33.10, 3.70,38.48,3.46,5.99, 0.00,25.00,20.00,25.00,16.17,12.70
10:01:01,24.70,25.00,5.96, 13.80,24.70,19.90,66.80, 27.60,-4.70,22.40,205.63, 54.10,98.44,22.80,33.18, 3.70,38.37,3.46,5.93, 0.00,25.00,20.00,25.00,16.17,12.70
10:01:02,24.70,25.00,5.89, 13.80,24.70,19.90,66.80, 27.60,-4.70,22.50,205.64, 54.14,98.88,22.88,32.71, 3.70,38.46,3.47,5.87, 0.00,25.00,20.00,25.00,16.16,12.70
10:01:03,24.70,25.00,5.81, 13.80,24.70,19.90,66.80, 27.60,-4.70,22.50,205.61, 54.09,98.08,22.90,33.16, 3.70,38.48,3.47,5.81, 0.00,25.00,20.00,25.00,16.17,12.70
10:01:04,24.80,25.00,7.34, 13.80,24.80,19.90,66.70, 27.70,-4.70,22.50,205.61, 54.11,99.91,22.97,33.10, 3.69,38.48,3.47,7.34, 0.00,25.00,20.00,25.00,16.17,12.70
10:01:05,24.80,25.00,7.66, 13.80,24.80,19.90,66.70, 27.70,-4.70,22.50,205.65, 54.10,98.76,22.94,32.96, 3.70,38.48,3.47,7.66, 0.00,25.00,20.00,25.00,16.19,12.70
10:01:06,24.80,25.00,7.67, 13.80,24.80,19.90,66.70, 27.70,-4.70,22.50,205.65, 54.12,98.29,22.96,32.78, 3.70,38.48,3.47,7.67, 0.00,25.00,20.00,25.00,16.19,12.70
10:01:07,24.80,25.00,7.63, 13.80,24.80,19.90,66.70, 27.70,-4.70,22.50,205.65, 54.07,98.63,22.93,33.25, 3.70,38.48,3.47,7.63, 0.00,25.00,20.00,25.00,16.19,12.70
10:01:08,24.80,25.00,7.60, 13.80,24.80,19.90,66.70, 27.70,-4.70,22.50,205.59, 54.09,98.65,22.90,32.87, 3.70,38.48,3.47,7.60, 0.00,25.00,20.00,25.00,16.19,12.70
10:01:09,24.80,25.00,7.56, 13.80,24.80,19.90,66.80, 27.70,-4.70,22.70,205.62, 54.10,98.79,22.93,33.05, 3.70,38.48,3.47,7.56, 0.00,25.00,20.00,25.00,16.19,12.70
10:01:10,24.80,25.00,7.52, 13.80,24.80,19.90,66.80, 27.70,-4.70,22.70,205.58, 54.10,98.86,22.95,32.94, 3.71,38.48,3.47,7.52, 0.00,25.00,20.00,25.00,16.19,12.70
10:01:11,24.80,25.00,7.48, 13.80,24.80,19.90,66.90, 27.70,-4.70,22.70,205.61, 54.11,99.12,22.94,33.22, 3.70,38.48,3.47,7.48, 0.00,25.00,20.00,25.00,16.19,12.70
10:01:12,24.80,25.00,7.43, 13.80,24.80,19.90,66.90, 27.70,-4.70,22.70,205.62, 54.11,99.09,22.94,32.68, 3.70,38.48,3.47,7.43, 0.00,25.00,20.00,25.00,16.19,12.70
10:01:13,24.80,25.00,7.39, 13.80,24.80,19.90,66.90, 27.70,-4.70,22.70,205.58, 54.10,98.99,22.91,33.19, 3.70,38.48,3.47,7.39, 0.00,25.00,20.00,25.00,16.19,12.70
10:01:14,24.80,25.00,7.35, 13.80,24.80,19.90,66.80, 27.70,-4.70,22.70,205.58, 54.10,98.93,22.86,32.99, 3.71,38.48,3.47,7.35, 0.00,25.00,20.00,25.00,16.19,12.70
10:01:15,24.80,25.00,7.31, 13.80,24.80,19.90,66.80, 27.70,-4.70,22.80,205.59, 54.11,98.78,22.92,33.05, 3.70,38.48,3.47,7.31, 0.00,25.00,20.00,25.00,16.19,12.70
10:01:16,24.90,25.00,8.39, 13.80,24.90,19.90,66.80, 27.70,-4.70,22.80,205.53, 54.10,98.95,22.92,33.15, 3.71,38.48,3.47,8.39, 0.00,25.00,20.00,25.00,16.19,12.70
