# START:5/9/2024 1:44:24 PM APP:tmon VERSION:0.91 FILE:tmon_rn-16.csv
# Ctrl Rate(secs):1
# PLC OC_VER=40002014 (0x26261de) OC_VER(?)
Time,Temp,Setpt,Pwr,SucTmp,ChmTmp,ChlTmp,DisTmp,DrvTmp,DeSupTmp,DrvWTmp,DisPrs,SucPrs,InWPrs,OutWPrs,ChlPrs,PumpAmps,Humid,ChlPwr,ChmPwr,DrvPwr,ChmSet,ChlSet,DrvSet,CLevel,InwTmp
13:44:25,25.30,25.00,20.92, 13.75,25.30,19.90,67.20, 28.10,-4.60,19.00,208.45, 54.08,91.50,25.89,33.91, 3.72,39.13,3.63,20.95, 0.00,25.00,20.00,25.00,16.24,12.50
13:44:26,25.30,25.00,20.95, 13.74,25.30,19.90,67.30, 28.00,-4.60,19.00,208.44, 54.10,91.17,25.63,33.78, 3.72,39.14,3.63,20.98, 0.00,25.00,20.00,25.00,16.21,12.50
13:44:26,25.30,25.00,21.01, 13.74,25.30,19.90,67.30, 28.00,-4.50,18.60,208.44, 54.04,91.93,25.51,33.39, 3.71,39.14,3.63,21.04, 0.00,25.00,20.00,25.00,16.21,12.50
13:44:27,25.30,25.00,21.07, 13.74,25.30,19.90,67.30, 28.00,-4.50,18.60,208.35, 54.04,92.70,25.30,33.39, 3.71,39.14,3.63,21.10, 0.00,25.00,20.00,25.00,16.24,12.50
13:44:28,25.30,25.00,21.13, 13.75,25.30,19.90,67.30, 28.00,-4.50,18.60,208.25, 54.14,93.11,25.01,33.56, 3.72,39.14,3.63,21.16, 0.00,25.00,20.00,25.00,16.24,12.50
13:44:29,25.30,25.00,21.19, 13.76,25.30,19.90,67.30, 28.00,-4.50,18.50,208.23, 54.05,93.16,24.81,33.48, 3.72,39.14,3.63,21.22, 0.00,25.00,20.00,25.00,16.22,12.50
13:44:30,25.30,25.00,21.25, 13.76,25.30,19.90,67.30, 28.00,-4.50,18.50,208.15, 54.08,93.88,24.56,34.08, 3.72,39.14,3.63,20.94, 0.00,25.00,20.00,25.00,16.22,12.50
13:44:31,25.20,25.00,19.91, 13.75,25.20,19.90,67.30, 27.90,-4.50,18.50,208.05, 54.07,94.18,24.41,33.61, 3.71,39.14,3.63,19.55, 0.00,25.00,20.00,25.00,16.24,12.50
13:44:32,25.20,25.00,19.43, 13.74,25.20,19.90,67.30, 27.90,-4.60,18.50,207.99, 54.01,94.64,24.09,33.24, 3.72,39.14,3.63,19.39, 0.00,25.00,20.00,25.00,16.24,12.50
13:44:33,25.20,25.00,19.40, 13.75,25.20,19.90,67.30, 27.90,-4.60,18.50,207.86, 53.98,93.77,23.98,33.75, 3.72,39.14,3.63,19.41, 0.00,25.00,20.00,25.00,16.24,12.50
13:44:34,25.20,25.00,19.43, 13.76,25.20,19.90,67.30, 27.90,-4.60,18.50,207.70, 53.96,94.06,23.88,33.43, 3.72,39.14,3.63,19.44, 0.00,25.00,20.00,25.00,16.24,12.50
13:44:35,25.20,25.00,19.46, 13.76,25.20,19.90,67.30, 27.80,-4.60,18.50,207.64, 53.95,94.45,23.64,33.56, 3.71,39.14,3.63,19.48, 0.00,25.00,20.00,25.00,16.24,12.50
13:44:36,25.20,25.00,19.50, 13.77,25.20,19.90,67.30, 27.80,-4.60,18.70,207.56, 53.96,94.56,23.61,33.66, 3.71,39.14,3.63,19.52, 0.00,25.00,20.00,25.00,16.24,12.50
13:44:37,25.20,25.00,19.54, 13.78,25.20,19.90,67.30, 27.80,-4.60,18.70,207.38, 53.92,94.88,23.45,33.88, 3.71,39.14,3.63,19.56, 0.00,25.00,20.00,25.00,16.24,12.50
13:44:38,25.20,25.00,19.59, 13.78,25.20,19.90,67.30, 27.70,-4.60,18.70,207.33, 53.90,95.23,23.37,33.49, 3.72,39.14,3.63,19.60, 0.00,25.00,20.00,25.00,16.22,12.50
13:44:39,25.20,25.00,19.63, 13.78,25.20,19.90,67.30, 27.70,-4.60,18.90,207.16, 53.92,95.79,23.18,33.74, 3.72,39.07,3.63,19.64, 0.00,25.00,20.00,25.00,16.22,12.50
