# START:6/12/2024 3:11:49 PM APP:tmon VERSION:0.91 FILE:tmon_rn-32.csv
# Ctrl Rate(secs):1
# PLC OC_VER=40002014 (0x26261de) OC_VER(?)
Time,Temp,Setpt,Pwr,SucTmp,ChmTmp,ChlTmp,DisTmp,DrvTmp,DeSupTmp,DrvWTmp,DisPrs,SucPrs,InWPrs,OutWPrs,ChlPrs,PumpAmps,Humid,ChlPwr,ChmPwr,DrvPwr,ChmSet,ChlSet,DrvSet,CLevel,InwTmp
15:11:49,25.00,25.00,15.21, 13.37,25.00,19.25,65.70, 28.80,-5.30,24.10,198.78, 52.89,88.51,23.41,33.63, 3.68,40.10,2.68,15.19, 0.92,25.00,20.00,25.00,16.21,12.80
15:11:50,25.00,25.00,15.19, 13.39,25.00,19.29,65.70, 28.80,-5.30,24.10,198.95, 52.88,88.51,23.32,33.47, 3.68,40.12,2.72,15.18, 0.83,25.00,20.00,25.00,16.22,12.80
15:11:51,25.00,25.00,15.18, 13.41,25.00,19.33,65.70, 28.80,-5.30,24.10,199.17, 52.91,89.01,23.22,33.44, 3.70,40.13,2.76,15.18, 0.65,25.00,20.00,25.00,16.21,12.80
15:11:52,24.90,25.00,14.28, 13.42,24.90,19.37,65.80, 28.80,-5.30,24.10,199.37, 52.93,89.97,23.27,33.66, 3.69,40.13,2.81,13.57, 0.47,25.00,20.00,25.00,16.22,12.80
15:11:53,24.90,25.00,13.57, 13.43,24.90,19.41,65.80, 28.80,-5.20,24.10,199.58, 52.96,90.15,23.24,33.37, 3.69,40.13,2.84,13.30, 0.38,25.00,20.00,25.00,16.21,12.80
15:11:54,24.90,25.00,13.16, 13.45,24.90,19.45,65.80, 28.80,-5.20,24.20,200.00, 53.42,89.72,23.26,33.79, 3.68,40.13,2.89,13.13, 1.81,25.00,20.00,25.00,16.21,12.80
15:11:55,24.90,25.00,13.13, 13.46,24.90,19.47,65.80, 28.80,-5.20,24.20,200.42, 53.75,89.88,23.22,33.45, 3.69,40.13,2.90,13.12, 1.93,25.00,20.00,25.00,16.22,12.80
15:11:56,24.90,25.00,13.09, 13.47,24.90,19.48,65.80, 28.80,-5.20,24.20,201.90, 53.56,89.97,23.09,33.46, 3.68,40.13,2.91,13.05, 1.80,25.00,20.00,25.00,16.21,12.80
15:11:57,24.80,25.00,13.05, 13.47,24.80,19.49,65.80, 28.80,-5.20,24.20,202.48, 53.38,88.16,23.18,33.72, 3.69,40.10,2.92,11.79, 1.72,25.00,20.00,25.00,16.21,12.80
15:12:00,24.80,25.00,10.97, 13.49,24.80,19.56,65.90, 28.90,-5.10,24.30,203.54, 53.47,91.11,23.08,33.80, 3.68,40.13,3.00,10.95, 2.97,25.00,20.00,25.00,16.21,12.70
15:12:00,24.80,25.00,10.95, 13.52,24.80,19.57,65.90, 28.90,-5.10,24.30,203.81, 53.45,91.72,23.10,33.59, 3.69,40.13,3.00,10.93, 3.08,25.00,20.00,25.00,16.21,12.70
15:12:02,24.80,25.00,10.89, 13.56,24.80,19.59,66.10, 28.90,-5.10,24.30,204.52, 53.55,91.56,23.31,33.52, 3.68,40.13,3.02,10.87, 2.97,25.00,20.00,25.00,16.21,12.80
15:12:03,24.70,25.00,10.78, 13.59,24.70,19.59,66.10, 28.90,-5.10,24.30,205.04, 54.04,91.52,23.34,33.06, 3.70,40.13,3.04,9.53, 2.83,25.00,20.00,25.00,16.21,12.80
15:12:04,24.70,25.00,9.06, 13.63,24.70,19.63,66.20, 28.90,-5.00,24.30,206.28, 54.18,91.45,23.25,33.68, 3.69,40.13,3.08,8.86, 2.69,25.00,20.00,25.00,16.21,12.80
15:12:06,24.70,25.00,8.65, 13.73,24.70,19.68,66.40, 28.90,-5.00,24.40,206.85, 53.86,91.37,23.32,33.43, 3.69,40.11,3.12,8.62, 3.69,25.00,20.00,25.00,16.21,12.70
15:12:07,24.70,25.00,8.58, 13.77,24.70,19.69,66.40, 28.90,-5.00,24.40,207.16, 53.62,91.38,23.28,33.29, 3.69,40.01,3.13,8.55, 4.14,25.00,20.00,25.00,16.22,12.70
15:12:08,24.70,25.00,8.52, 13.81,24.70,19.73,66.50, 28.90,-4.90,24.40,207.00, 53.60,91.44,23.30,33.26, 3.69,40.12,3.17,8.50, 4.10,25.00,20.00,25.00,16.21,12.70
15:12:09,24.70,25.00,8.47, 13.85,24.70,19.76,66.50, 28.90,-4.90,24.40,206.54, 53.65,91.44,23.26,33.70, 3.69,40.13,3.20,8.43, 3.93,25.00,20.00,25.00,16.21,12.70
15:12:10,24.70,25.00,8.40, 13.90,24.70,19.78,66.50, 28.90,-4.90,24.40,206.25, 53.78,91.38,23.38,33.78, 3.69,40.13,3.22,8.37, 3.87,25.00,20.00,25.00,16.24,12.70
15:12:12,24.70,25.00,8.35, 13.94,24.70,19.79,66.60, 28.90,-4.90,24.40,206.33, 54.50,91.45,23.28,33.52, 3.69,40.13,3.23,8.28, 3.93,25.00,20.00,25.00,16.24,12.70
15:12:12,24.70,25.00,8.28, 13.96,24.70,19.79,66.60, 28.90,-4.90,24.50,207.02, 54.04,91.47,23.39,33.20, 3.69,40.13,3.23,8.25, 4.99,25.00,20.00,25.00,16.24,12.70
15:12:13,24.60,25.00,7.40, 14.02,24.60,19.79,66.60, 28.90,-4.90,24.50,206.84, 53.66,91.10,23.17,33.37, 3.69,40.08,3.24,6.62, 5.45,25.00,20.00,25.00,16.21,12.70
15:12:15,24.60,25.00,6.30, 14.08,24.60,19.80,66.60, 28.90,-4.90,24.50,206.37, 54.08,92.14,23.32,33.63, 3.68,40.08,3.24,6.16, 5.38,25.00,20.00,25.00,16.22,12.70
15:12:15,24.60,25.00,6.08, 14.12,24.60,19.80,66.60, 28.90,-4.90,24.50,206.67, 53.94,91.44,23.28,33.49, 3.69,40.13,3.24,6.03, 5.28,25.00,20.00,25.00,16.22,12.70
15:12:16,24.60,25.00,5.99, 14.15,24.60,19.80,66.80, 28.90,-4.90,24.50,206.67, 53.85,91.52,23.16,33.26, 3.68,40.13,3.24,5.94, 5.23,25.00,20.00,25.00,16.22,12.70
15:12:18,24.60,25.00,5.90, 14.18,24.60,19.80,66.80, 28.90,-4.90,24.60,206.47, 53.97,91.60,23.30,33.72, 3.69,40.13,3.24,5.82, 6.95,25.00,20.00,25.00,16.21,12.70
15:12:19,24.60,25.00,5.78, 14.20,24.60,19.80,66.90, 29.00,-4.90,24.60,206.42, 54.02,91.83,23.34,33.46, 3.69,40.13,3.24,5.74, 7.01,25.00,20.00,25.00,16.21,12.70
15:12:19,24.60,25.00,5.74, 14.22,24.60,19.80,66.90, 29.00,-4.90,24.60,206.43, 54.05,91.61,23.19,33.62, 3.69,40.13,3.24,5.70, 6.98,25.00,20.00,25.00,16.22,12.70
