# START:10/15/2024 9:41:52 AM APP:tmon VERSION:0.91 FILE:tmon_rn-1.csv
# Ctrl Rate(secs):1
# PLC OC_VER=40002014 (0x26261de) OC_VER(?)
Time,Temp,Setpt,Pwr,SucTmp,ChmTmp,ChlTmp,DisTmp,DrvTmp,DeSupTmp,DrvWTmp,DisPrs,SucPrs,InWPrs,OutWPrs,ChlPrs,PumpAmps,Humid,ChlPwr,ChmPwr,DrvPwr,ChmSet,ChlSet,DrvSet,CLevel,InwTmp
09:41:53,26.00,25.00,0.00, 13.70,26.00,19.90,66.20, 28.00,-5.00,22.50,202.55, 54.06,94.35,23.17,32.64, 3.70,34.52,2.93,0.00, 0.00,25.00,20.00,25.00,16.22,12.10
09:41:53,26.00,25.00,0.00, 13.70,26.00,19.90,66.20, 28.00,-5.00,22.60,202.56, 54.02,94.59,23.12,32.78, 3.70,34.52,2.93,0.00, 0.00,25.00,20.00,25.00,16.22,12.10
09:41:54,26.00,25.00,0.00, 13.70,26.00,19.90,66.20, 28.00,-5.00,22.60,202.56, 54.01,94.74,23.08,32.87, 3.70,34.52,2.93,0.00, 0.00,25.00,20.00,25.00,16.22,12.10
09:41:55,26.00,25.00,0.00, 13.70,26.00,19.90,66.20, 28.00,-5.00,22.60,202.60, 53.98,94.73,23.03,33.10, 3.70,34.52,2.93,0.00, 0.00,25.00,20.00,25.00,16.22,12.10
09:41:56,26.00,25.00,0.00, 13.70,26.00,19.90,66.20, 28.00,-5.00,22.60,202.63, 53.98,94.66,23.02,32.83, 3.69,34.52,2.93,0.00, 0.00,25.00,20.00,25.00,16.22,12.10
09:41:57,26.00,25.00,0.00, 13.70,26.00,19.90,66.20, 28.00,-5.00,22.60,202.60, 54.04,94.69,23.06,32.84, 3.69,34.52,2.93,0.00, 0.00,25.00,20.00,25.00,16.22,12.10
09:41:58,26.00,25.00,0.00, 13.70,26.00,19.90,66.20, 28.00,-5.00,22.60,202.67, 54.03,94.59,23.06,32.77, 3.69,34.52,2.93,0.00, 0.00,25.00,20.00,25.00,16.22,12.10
09:41:59,26.00,25.00,0.00, 13.70,26.00,19.90,66.20, 28.00,-5.00,22.60,202.64, 54.06,94.40,23.12,32.89, 3.70,34.52,2.93,0.00, 0.00,25.00,20.00,25.00,16.22,12.20
09:42:00,26.00,25.00,0.00, 13.69,26.00,19.90,66.20, 28.00,-5.00,22.60,202.65, 54.06,94.12,23.18,33.10, 3.70,34.52,2.93,0.00, 0.00,25.00,20.00,25.00,16.22,12.20
09:42:01,26.00,25.00,0.00, 13.67,26.00,19.90,66.20, 28.00,-5.00,22.60,202.71, 54.02,94.59,23.18,32.76, 3.70,34.52,2.93,0.00, 0.00,25.00,20.00,25.00,16.22,12.20
09:42:03,26.00,25.00,0.00, 13.66,26.00,19.90,66.20, 28.00,-5.00,22.70,202.68, 54.04,94.71,23.17,33.10, 3.70,34.52,2.93,0.00, 0.00,25.00,20.00,25.00,16.22,12.10
09:42:04,26.00,25.00,0.00, 13.65,26.00,19.90,66.20, 28.00,-5.00,22.70,202.70, 54.06,94.70,23.18,32.87, 3.69,34.52,2.93,0.00, 0.00,25.00,20.00,25.00,16.22,12.10
09:42:05,26.00,25.00,0.00, 13.64,26.00,19.90,66.20, 28.00,-5.00,22.70,202.72, 54.02,94.84,23.19,32.73, 3.69,34.52,2.93,0.00, 0.00,25.00,20.00,25.00,16.22,12.10
09:42:06,26.00,25.00,0.00, 13.63,26.00,19.90,66.20, 28.00,-5.00,22.70,202.69, 53.99,94.80,23.17,32.96, 3.69,34.52,2.93,0.00, 0.00,25.00,20.00,25.00,16.22,12.10
09:42:07,26.00,25.00,0.00, 13.63,26.00,19.90,66.20, 28.00,-5.00,22.70,202.70, 54.00,94.79,23.18,32.75, 3.69,34.52,2.93,0.00, 0.00,25.00,20.00,25.00,16.22,12.10
09:42:08,26.00,25.00,0.00, 13.62,26.00,19.90,66.20, 28.00,-5.00,22.70,202.75, 54.01,94.90,23.16,32.71, 3.69,34.52,2.93,0.00, 0.00,25.00,20.00,25.00,16.22,12.10
09:42:09,26.00,25.00,0.00, 13.62,26.00,19.90,66.20, 28.00,-5.00,22.80,202.71, 54.05,94.51,23.17,33.11, 3.69,34.52,2.93,0.00, 0.00,25.00,20.00,25.00,16.22,12.10
09:42:10,26.00,25.00,0.00, 13.61,26.00,19.90,66.20, 28.00,-5.00,22.80,202.73, 54.04,94.69,23.22,32.96, 3.70,34.57,2.93,0.00, 0.00,25.00,20.00,25.00,16.22,12.10
09:42:11,26.00,25.00,0.00, 13.61,26.00,19.90,66.10, 28.00,-5.00,22.80,202.79, 54.02,94.78,23.24,32.88, 3.70,34.59,2.93,0.00, 0.00,25.00,20.00,25.00,16.22,12.10
09:42:12,26.00,25.00,0.00, 13.61,26.00,19.90,66.10, 28.00,-5.00,22.80,202.78, 54.01,94.65,23.19,32.81, 3.70,34.53,2.93,0.00, 0.00,25.00,20.00,25.00,16.22,12.20
09:42:13,26.00,25.00,0.00, 13.61,26.00,19.90,66.10, 28.00,-5.00,22.80,202.77, 53.99,94.75,23.19,32.90, 3.70,34.52,2.93,0.00, 0.00,25.00,20.00,25.00,16.22,12.20
09:42:13,26.00,25.00,0.00, 13.61,26.00,19.90,66.20, 28.00,-5.00,22.80,202.78, 53.98,94.57,23.20,32.59, 3.70,34.52,2.93,0.00, 0.00,25.00,20.00,25.00,16.22,12.20
09:42:15,26.00,25.00,0.00, 13.61,26.00,19.90,66.20, 28.10,-5.00,22.80,202.79, 53.98,94.61,23.20,32.78, 3.69,34.52,2.93,0.00, 0.00,25.00,20.00,25.00,16.22,12.10
09:42:15,26.00,25.00,0.00, 13.60,26.00,19.90,66.20, 28.10,-5.00,22.80,202.78, 53.98,94.71,23.20,32.91, 3.69,34.53,2.93,0.00, 0.00,25.00,20.00,25.00,16.22,12.10
09:42:17,26.00,25.00,0.00, 13.63,26.00,19.92,66.20, 28.10,-5.00,22.80,202.80, 54.02,94.38,23.18,32.70, 3.70,34.52,2.96,0.00, 0.00,25.00,20.00,25.00,16.22,12.10
09:42:17,26.00,25.00,0.00, 13.63,26.00,19.94,66.20, 28.10,-5.00,22.90,202.78, 54.00,94.38,23.23,33.10, 3.69,34.52,2.98,0.00, 0.00,25.00,20.00,25.00,16.22,12.10
09:42:18,26.00,25.00,0.00, 13.65,26.00,19.96,66.20, 28.10,-5.00,22.90,202.77, 54.01,94.07,23.22,33.11, 3.70,34.52,3.00,0.00, 0.00,25.00,20.00,25.00,16.22,12.10
09:42:19,26.00,25.00,0.00, 13.66,26.00,19.96,66.20, 28.10,-5.00,22.90,202.81, 54.05,94.27,23.22,32.84, 3.70,34.52,2.99,0.00, 0.00,25.00,20.00,25.00,16.22,12.10
09:42:20,26.00,25.00,0.00, 13.66,26.00,19.94,66.20, 28.10,-5.00,22.90,202.83, 53.96,94.38,23.24,32.97, 3.70,34.52,2.97,0.00, 0.00,25.00,20.00,25.00,16.22,12.20
09:42:21,26.00,25.00,0.00, 13.67,26.00,19.92,66.20, 28.10,-5.00,22.90,202.78, 53.99,94.41,23.28,32.96, 3.70,34.52,2.95,0.00, 0.00,25.00,20.00,25.00,16.22,12.20
09:42:22,26.00,25.00,0.00, 13.68,26.00,19.95,66.20, 28.10,-5.00,22.90,202.83, 54.04,94.53,23.25,32.76, 3.69,34.52,2.98,0.00, 0.00,25.00,20.00,25.00,16.22,12.20
09:42:23,26.00,25.00,0.00, 13.68,26.00,19.97,66.20, 28.10,-5.00,22.90,202.84, 53.98,94.43,23.26,32.77, 3.69,34.52,3.00,0.00, 0.00,25.00,20.00,25.00,16.22,12.20
09:42:24,26.00,25.00,0.00, 13.68,26.00,19.98,66.20, 28.10,-5.00,22.90,202.82, 53.98,94.14,23.23,33.02, 3.69,34.52,3.02,0.00, 0.00,25.00,20.00,25.00,16.22,12.20
09:42:25,26.00,25.00,0.00, 13.68,26.00,19.99,66.20, 28.10,-5.00,22.90,202.84, 54.05,94.37,23.20,32.71, 3.69,34.52,3.03,0.00, 0.00,25.00,20.00,25.00,16.22,12.20
09:42:26,26.00,25.00,0.00, 13.67,26.00,19.99,66.20, 28.10,-5.00,22.90,202.89, 53.98,94.40,23.22,32.88, 3.70,34.53,3.03,0.00, 0.00,25.00,20.00,25.00,16.22,12.20
09:42:27,26.00,25.00,0.00, 13.65,26.00,20.00,66.20, 28.10,-5.00,23.00,202.85, 53.96,94.29,23.23,32.92, 3.70,34.52,3.03,0.00, 0.00,25.00,20.00,25.00,16.22,12.20
